Formula	Molar Mass	CAS Registry Number	Name	
C2H3N	41.053	75-05-8	Acetonitrile	
$$$Compressibility (isentropic)	
T [K]	Compressibility (isentropic) [/kPa]	State	Reference	
303.15	8.17000000097E-007	Liquid	1	
Number	Source	
1	Narayanaswamy G.; Dharmaraju G.; Kodanda Raman G.: Excess Volumes and Isentropis Compressibilities of Acetonitrile +N-Propanol, +I-Propanol, +N-Butanol, +I-Butanol, and +Cyclohexanol at 303.15 K.. J.Chem.Thermodyn. 13 (1981) 327-331	
$$$Critical Data	
T [K]	P [kPa]	State	Reference	
544.99	4934.000	Critical Point	5	
545.50	4830.000	Critical Point	3	
545.50	4890.000	Critical Point	2	
547.89		Critical Point	1	
Number	Source	
1	Ter-Gazarian G.: Orthobaric densities of acetonitrile and propionitrile up to the critical point. (Ger). Chem.Zentralbl. 2 (1906) 105-106	
2	Castillo-Lopez N.; Trejo A.: The Critical Temperatures and Pressures of Several n-Alkanenitriles.. J.Chem.Thermodyn. 19 (1987) 671-672	
3	Rodriguez A.T.; McLure I.A.: Critical Temperature and Pressure of Ethanenitrile.. J.Chem.Thermodyn. 11 (1979) 1113-1114	
4	Rodriguez A.T.; McLure I.A.: II. Gas-Liquid Pressure-Temperature-Composition Critical Loci for Ethanenitrile with C-4-C11 n-Alkanes.. Fluid Phase Equilib. 12 (1983) 297-305	
5	Kay W.B.; Young C.L.: Gas-Liquid Critical Properties. Int.Data Series Sel.Data Mixtures Ser. A 1975 (1975) 52-65	
6	Ter-Gazarian G.: Orthobaric densities of acetonitrile and propionitrile up to the critical poin.. J.Chim.Phys. 4 (1906) 140-169	
$$$Density	
T [K]	Density [kg/m3]	State	Reference	
253.00	826.600	Liquid	3	
263.00	815.500	Liquid	3	
273.00	804.300	Liquid	3	
278.00	797.800	Liquid	5	
283.00	793.100	Liquid	3	
283.15	792.490	Liquid	4	
288.00	787.000	Liquid	5	
288.15	787.990	Liquid	2	
293.00	782.000	Liquid	3	
293.15	782.600	Liquid	2	
293.15	783.000	Liquid	1	
298.00	776.400	Liquid	3	
298.00	776.700	Liquid	5	
298.15	775.900	Liquid	6	
298.15	776.390	Liquid	4	
298.15	777.250	Liquid	2	
303.00	770.800	Liquid	3	
303.15	771.700	Liquid	6	
303.15	771.830	Liquid	2	
303.15	774.800	Liquid	1	
308.00	765.700	Liquid	5	
308.15	766.200	Liquid	6	
308.15	766.280	Liquid	2	
313.00	759.600	Liquid	3	
313.15	759.950	Liquid	4	
313.15	760.560	Liquid	2	
313.15	760.900	Liquid	6	
313.15	766.600	Liquid	1	
318.00	754.700	Liquid	5	
318.15	754.980	Liquid	2	
318.15	755.900	Liquid	6	
323.00	748.400	Liquid	3	
323.15	749.190	Liquid	2	
323.15	758.400	Liquid	1	
328.15	743.140	Liquid	4	
328.15	743.600	Liquid	2	
333.00	737.300	Liquid	3	
333.15	735.760	Liquid	2	
Number	Source	
1	Armenskaya S.E.; Lanshina L.V.: Untersuchung der Raylei-Lichtstreuung in Acetonitril-Chloroform-Lösungen. Vestn.Mosk.Univ.Ser.2 Khim. 14 (1973) 227-229	
2	Khimenko M.T.; Gritsenko N.N.: Determination of polarizability and the radius of acetonitrile and dimethylacetamide molecules.. Zh.Fiz.Khim. 54 (1980) 198-199	
3	Demakhin A.G.; Ponomarenko S.M.; Yudina O.Yu.: I.Temperaturabhängigkeit der Volumen-Eigenschaften von Lösungsmitteln. Oniitekhim  (1991) 1-23	
4	Davydova O.I.; Afanasev V.N.; Zhukov B.A.; Krestov G.A.: Untersuchung der Viskosität von System Nitromethan-Acetonitril. Zh.Fiz.Khim. 60 (1986) 982-984	
5	V'yunnik I.N.; Zholnovach A.M.; Belous S.A.; Rudenko A.P.: Untersuchung physikalisch-chemischer Eigenschaften von Acetonitril-Ethylacetat-Mischungen bei 278, 288, 298, 308, 318 K. Oniitekhim  (1983) 1-12	
6	Moumouzias G.; Panopoulos D.K.; Ritzoulis G.: Excess Properties of the Binary Liquid System Propylene Carbonate + Acetonitrile. J.Chem.Eng.Data 36 (1991) 20-23	
$$$Dielectric Constant	
T [K]	P [kPa]	Dielectric Constant [-]	State	Reference	
2	Dreisbach R.R.; Martin R.A.: Physical Data on some Organic Compounds. Ind.Eng.Chem. 41 (1949) 2875-2878	
3	Goates J.R.; Ott J.B.; Budge A.H.: Solid-Liquid Phase Equilibria and Solid Compound Formation in Acetonitrile-Aromatic Hydrocarbon System. J.Phys.Chem. 65 (1961) 2162-2165	
4	Joukovsky N.I.: XI. Contribution a l'Etude des Proprietes Thermodynamiques des Solutions Concentrees de Composes Organiques Azotes de la Serie Grasse. Bull.Soc.Chim.Belg. 43 (1934) 397-446	
5	Ewert M.: XV. La congélation des solutions aqueuse de composés organiques. Bull.Soc.Chim.Belg. 46 (1937) 90-103	
6	Che G.-Q.; Huang Z.-Q.; Yun F.-C.: Liquid-Liquid and Solid-Liquid Phase Equilibria and Excess Gibbs Free Energies for Acetonitrile-Water. Huaxue-Xuebao 54 (1996) 859-863	
$$$Molar Heat Capacity (cP)	
T [K]	P [kPa]	Molar Heat Capacity (cP) [J/(mol*K)]	State	Reference	
258.15		92.15	Liquid	1	
278.15		92.28	Liquid	1	
298.15		92.36	Liquid	1	
303.15	100.000	78.12	Vapor	2	
303.15	5000.000	77.30	Vapor	2	
303.15	10000.000	76.56	Vapor	2	
303.15	15000.000	75.90	Vapor	2	
303.15	20000.000	75.29	Vapor	2	
318.15		92.45	Liquid	1	
323.15	100.000	81.28	Vapor	2	
323.15	5000.000	80.42	Vapor	2	
323.15	10000.000	79.55	Vapor	2	
323.15	15000.000	78.86	Vapor	2	
323.15	20000.000	78.20	Vapor	2	
343.15	100.000	84.56	Vapor	2	
343.15	5000.000	83.54	Vapor	2	
343.15	10000.000	82.59	Vapor	2	
343.15	15000.000	81.85	Vapor	2	
343.15	20000.000	81.16	Vapor	2	
363.15	5000.000	86.70	Vapor	2	
363.15	10000.000	85.67	Vapor	2	
363.15	15000.000	84.93	Vapor	2	
363.15	20000.000	84.23	Vapor	2	
383.15	5000.000	90.15	Vapor	2	
383.15	10000.000	89.00	Vapor	2	
383.15	15000.000	88.13	Vapor	2	
383.15	20000.000	87.35	Vapor	2	
403.15	5000.000	93.88	Vapor	2	
403.15	10000.000	92.73	Vapor	2	
403.15	15000.000	91.58	Vapor	2	
403.15	20000.000	90.88	Vapor	2	
423.15	5000.000	98.27	Vapor	2	
423.15	10000.000	96.80	Vapor	2	
423.15	15000.000	95.61	Vapor	2	
423.15	20000.000	94.66	Vapor	2	
443.15	5000.000	103.45	Vapor	2	
443.15	10000.000	101.44	Vapor	2	
443.15	15000.000	100.00	Vapor	2	
443.15	20000.000	98.73	Vapor	2	
463.15	5000.000	109.89	Vapor	2	
463.15	10000.000	106.77	Vapor	2	
463.15	15000.000	104.64	Vapor	2	
463.15	20000.000	103.12	Vapor	2	
483.15	5000.000	118.22	Vapor	2	
483.15	10000.000	112.97	Vapor	2	
483.15	15000.000	109.77	Vapor	2	
483.15	20000.000	107.88	Vapor	2	
503.15	5000.000	129.76	Vapor	2	
503.15	10000.000	120.48	Vapor	2	
503.15	15000.000	115.68	Vapor	2	
503.15	20000.000	113.09	Vapor	2	
523.15	5000.000	144.13	Vapor	2	
523.15	10000.000	129.43	Vapor	2	
523.15	15000.000	122.41	Vapor	2	
523.15	20000.000	118.80	Vapor	2	
Number	Source	
1	Peshekhodov P.B.; Nikiforov M.Yu.; Petrov A.N.; Alper G.A.: Wärmekapazität binärer Nichtelektrolyt-Lösungen mit Chloroform. Viniti  (1986) 1-6	
2	Guseinov S.O.; Mirzaliev A.A.: Über eine Variante und einige Untersuchungsergebnisse der isobaren Wärmekapazität nach monotonen Anwärmen Methode. Izv.Vyssh.Uchebn.Zaved.Neft Gaz  (1984) 41-45	
$$$Molar Heat Capacity (cV)	
T [K]	Molar Heat Capacity (Cv) [J/(mol*K)]	State	Reference	
298.15	62.89	Liquid	3	
298.15	63.50	Liquid	2	
298.15	63.53	Liquid	1	
Number	Source	
1	Nakamura M.; Chubachi K.; Tamura K.; Murakami S.: Thermodynamic properties of [x{HCON(CH3)2 or CH3CN} + (1-x)(CH3)2SO] at the temperature 298.15 K. J.Chem.Thermodyn. 25 (1993) 1311-1318	
2	Nakamura M.; Chubachi K.; Tamura K.; Murakami S.: Excess molar volumes, excess isentropic and isothermal compressibilities, and excess molar isochoric heat capacities of X CF3CH2OH + (1-X) (HCON(CH3)2 OR CH3CN) at the temperature 298.15 K. J.Chem.Thermodyn. 25 (1993) 525-531	
3	Nakamura M.; Tamura K.; Murakami S.: Isotope effects on thermodynamic properties: mixtures of x(D2O or H2O) + (1 - x)CH3CN at 298.15 K. Thermochim.Acta 253 (1995) 127-136	
$$$Molar Polarization	
T [K]	P [kPa]	Molar Polarization [ccm/mol]	State	Reference	
354.00	8.799	283.300	Vapor	1	
354.00	9.066	280.700	Vapor	1	
404.00	9.866	247.200	Vapor	1	
404.00	11.999	247.200	Vapor	1	
433.00	10.266	232.200	Vapor	1	
433.00	11.866	233.000	Vapor	1	
463.00	12.799	218.200	Vapor	1	
463.00	13.732	217.900	Vapor	1	
Number	Source	
1	Groves L.G.; Sugden S.: Part III. Homologous Series. J.Chem.Soc.London  (1937) 158-162	
$$$Speed of Sound	
T [K]	P [kPa]	Ultrasonic Velocity [m/s]	State	Reference	
273.15		1387.000	Liquid	3	
283.15		1345.000	Liquid	3	
293.15		1300.000	Liquid	6	
293.15		1305.000	Liquid	3	
298.15		1287.000	Liquid	1	
298.15		1290.000	Liquid	5	
298.15	101.325	1278.010	Liquid	4	
303.15		1264.000	Liquid	3	
308.15		1245.100	Liquid	2	
313.15		1224.000	Liquid	3	
323.15		1184.000	Liquid	3	
323.15		1203.000	Liquid	6	
333.15		1144.000	Liquid	3	
Number	Source	
1	Chauhan M.S.; Kumar A.; Chauhan S.: Part 2. 1,2-Dimethoxyethane and Tetrahydrofuran in Some Dipolar Aprotic Solvents. Acoust.Lett. 21 (1998) 228-235	
2	Ali A.; Nain A.K.; Sharma V.K.; Ahmad S.: Ultrasonic studies in binary liquid mixtures. Indian J.Phys.Proc.Indian Ass.Cult.Sci.Sect.B 75B (2001) 519-525	
3	Lagemann R.T.; McMillan D.R.Jr.; Woolf W.E.: Temperature Variation of Ultrasonic Velocity in Liquids. J.Chem.Phys. 17 (1949) 369-373	
4	Benson G.C.; D´Arcy P. J.; Handa Y.P.: V. Isobaric Heat Capacities and Ultrasonic Speeds for Water + Ethanenitrile Mixtures at 25°C. Thermochim.Acta 46 (1981) 295-301	
5	Willard G W.: Temperature Coefficients of Ultrasonic Velocity in Solutions. J.Acoust.Soc.Am. 19 (1947) 235-241	
6	Arabkin V.B.; Korableva E.Yu.; Minina S.L.: Molecular Light Scattering and Interparticle Interactions in Kalium Thiocyanide Solutions in Acetone. Zh.Fiz.Khim. 64 (1990) 2377-2382	
$$$Std. Heat of Combustion	
T [K]	Molar Enthalpy [J/mol]	State	Reference	
298.00	-1247170.00	Liquid	1	
Number	Source	
1	Hall Jr. H.K.; Baldt J.H.: Thermochemistry of Strained-Ring Bridgehead Nitriles and Esters. J.Am.Chem.Soc. 93 (1971) 140-145	
$$$Std. Heat of Formation	
T [K]	Molar Enthalpy [J/mol]	State	Reference	
298.00	31380.00	Liquid	2	
298.00	40560.00	Liquid	1	
Number	Source	
1	An X.-W.; Mansson M.: Enthalpies of combustion and formation of acetonitrile.. J.Chem.Thermodyn. 15 (1983) 287-293	
2	Hall Jr. H.K.; Baldt J.H.: Thermochemistry of Strained-Ring Bridgehead Nitriles and Esters. J.Am.Chem.Soc. 93 (1971) 140-145	
$$$Surface Tension	
T [K]	P [kPa]	Surface Tension [mN/m]	State	Reference	
286.95		29.1800	Liquid	6	
288.15		29.7600	Liquid	1	
292.25	101.325	29.4500	Liquid	2	
293.15		29.0400	Liquid	4	
293.15		29.1000	Liquid	1	
293.15		29.2900	Liquid	3	
299.85	101.325	28.4000	Liquid	2	
303.15		27.8000	Liquid	1	
304.55		26.8100	Liquid	6	
313.75	101.325	26.6800	Liquid	2	
315.95		25.4300	Liquid	6	
328.15		23.8200	Liquid	6	
333.55	101.325	24.2000	Liquid	2	
340.15		22.3500	Liquid	6	
346.65		21.5800	Liquid	6	
353.15		21.7700	Liquid	3	
Number	Source	
1	Hennaut-Roland L.; Lek M.: Methods and equipment used at the Bureau of Physico-Chem. Standards.IV. Surface tension of a series of org. substances.. Bull.Soc.Chim.Belg. 40 (1931) 177-188	
2	Jeffery G.H.; Vogel A.I.: Part XVII. Acetylenic Compounds and Cyanides.. J.Chem.Soc.London  (1948) 674-683	
3	Korösi G.; Kovats E.S.: Density and Surface Tension of 83 Organic Liquids. J.Chem.Eng.Data 26 (1981) 323-332	
4	Harkins W.D.; Brown F.E.; Davies E.C.H.: The structure of the surfaces of liquids, and solubility as related to the work done by the attraction of two surfaces as they approach each other.. J.Am.Chem.Soc. 39 (1917) 354-364	
5	Timmermans M.J.; Hennaut-Roland M.: Travaux du bureau international d'etalons physico-chimiques IV Etude des constantes physiques de vingt composes organiques. J.Chim.Phys. 27 (1930) 401-442	
6	Renard T.; Guye P.-A.: Measurement of the surface tension. (Fr). J.Chim.Phys. 5 (1907) 81-112	
$$$Thermal Conductivity	
T [K]	P [kPa]	Thermal Conductivity [W/(m*K)]	State	Reference	
298.00		0.2501	Liquid	1	
303.00	100.000	0.2070	Liquid	2	
303.00	2000.000	0.2080	Liquid	2	
303.00	5000.000	0.2120	Liquid	2	
303.00	10000.000	0.2130	Liquid	2	
303.00	20000.000	0.2158	Liquid	2	
308.00		0.2467	Liquid	1	
313.00	100.000	0.2024	Liquid	2	
313.00	2000.000	0.2039	Liquid	2	
313.00	5000.000	0.2052	Liquid	2	
313.00	10000.000	0.2071	Liquid	2	
313.00	20000.000	0.2110	Liquid	2	
323.00		0.2399	Liquid	1	
333.00	100.000	0.1940	Liquid	2	
333.00	2000.000	0.1952	Liquid	2	
333.00	5000.000	0.1963	Liquid	2	
333.00	10000.000	0.1993	Liquid	2	
333.00	20000.000	0.2032	Liquid	2	
353.00	2000.000	0.1862	Liquid	2	
353.00	5000.000	0.1878	Liquid	2	
353.00	10000.000	0.1921	Liquid	2	
353.00	20000.000	0.1965	Liquid	2	
373.00	2000.000	0.1785	Liquid	2	
373.00	5000.000	0.1803	Liquid	2	
373.00	10000.000	0.1843	Liquid	2	
373.00	20000.000	0.1891	Liquid	2	
393.00	2000.000	0.1697	Liquid	2	
393.00	5000.000	0.1724	Liquid	2	
393.00	10000.000	0.1762	Liquid	2	
393.00	20000.000	0.1823	Liquid	2	
413.00	2000.000	0.1615	Liquid	2	
413.00	5000.000	0.1654	Liquid	2	
413.00	10000.000	0.1696	Liquid	2	
413.00	20000.000	0.1758	Liquid	2	
433.00	2000.000	0.1554	Liquid	2	
433.00	5000.000	0.1582	Liquid	2	
433.00	10000.000	0.1628	Liquid	2	
433.00	20000.000	0.1697	Liquid	2	
453.00	2000.000	0.1498	Liquid	2	
453.00	5000.000	0.1529	Liquid	2	
453.00	10000.000	0.1569	Liquid	2	
453.00	20000.000	0.1628	Liquid	2	
473.00	2000.000	0.1426	Liquid	2	
473.00	5000.000	0.1451	Liquid	2	
473.00	10000.000	0.1512	Liquid	2	
473.00	20000.000	0.1580	Liquid	2	
493.00	5000.000	0.1379	Liquid	2	
493.00	10000.000	0.1441	Liquid	2	
493.00	20000.000	0.1514	Liquid	2	
513.00	5000.000	0.1314	Liquid	2	
513.00	10000.000	0.1386	Liquid	2	
513.00	20000.000	0.1457	Liquid	2	
Number	Source	
1	Pogodin V.P.; Klushin N.D.; Vorobev A.F.: Wärmeleitfähigkeit von Alkalimetalliodid-Acetonitryl-  und Alkalimetalliodid-Dimethylsulfoxyd-Lösungen bei verschiedenen Temperaturen. Zh.Fiz.Khim. 58 (1984) 1891-1895	
2	Guseinov S.O.; Mamedov R.T.: Über eine Variante der Monotonerwärmungsmethode zur Bestimmung der Wärmeleitfähigkeitskoeffizienten. Izv.Vyssh.Uchebn.Zaved.Neft Gaz  (1984) 63-68	
$$$Transition Temperature	
T [K]	P [kPa]	State	Reference	
215.00		Solid-Solid	3	
216.90		Solid-Solid	1	
217.65	100.000	Crystal 2 > Crystal 1	2	
223.15	20000.000	Crystal 2 > Crystal 1	2	
224.65	35000.000	Crystal 2 > Crystal 1	2	
227.15	48500.000	Crystal 2 > Crystal 1	2	
234.15	75000.000	Crystal 2 > Crystal 1	2	
240.65	102500.000	Crystal 2 > Crystal 1	2	
Number	Source	
1	Putnam W.E.; McEachern D.M.; Kilpatrick J.E.: Entropy and Related Thermodynamic Properties of Acetonitrile (Methylcyanide). J.Chem.Phys. 42 (1965) 749-755	
2	Würflinger A.: II.The Dielectic Constant of Acetonitrile. Ber.Bunsen-Ges.Phys.Chem. 84 (1980) 653-657	
3	Goates J.R.; Ott J.B.; Budge A.H.: Solid-Liquid Phase Equilibria and Solid Compound Formation in Acetonitrile-Aromatic Hydrocarbon System. J.Phys.Chem. 65 (1961) 2162-2165	
$$$Triple Point	
T [K]	P [kPa]	State	Reference	
229.32		Solid-Liquid-Vapor	1	
229.35	0.167	Solid-Liquid-Vapor	2	
Number	Source	
1	Putnam W.E.; McEachern D.M.; Kilpatrick J.E.: Entropy and Related Thermodynamic Properties of Acetonitrile (Methylcyanide). J.Chem.Phys. 42 (1965) 749-755	
2	Ewing M.B.; Sanchez Ochoa J.C.: Vapor Pressures of Acetonitrile Determined by Comparative Ebulliometry. J.Chem.Eng.Data 49 (2004) 486-491	
$$$Vapor Pressure	
T [K]	P [kPa]	State	Reference	
293.14	9.426	Vapor-Liquid	3	
293.15	9.353	Vapor-Liquid	5	
298.65	12.186	Vapor-Liquid	3	
303.20	14.892	Vapor-Liquid	3	
308.03	18.372	Vapor-Liquid	3	
312.60	22.225	Vapor-Liquid	3	
314.97	24.459	Vapor-Liquid	2	
317.65	27.358	Vapor-Liquid	3	
318.15	27.811	Vapor-Liquid	6	
319.24	29.026	Vapor-Liquid	2	
319.26	29.032	Vapor-Liquid	2	
322.63	33.211	Vapor-Liquid	3	
323.51	34.288	Vapor-Liquid	2	
327.59	40.037	Vapor-Liquid	3	
328.52	41.393	Vapor-Liquid	2	
332.80	48.423	Vapor-Liquid	3	
333.79	50.155	Vapor-Liquid	2	
338.10	58.315	Vapor-Liquid	3	
339.06	60.390	Vapor-Liquid	2	
343.20	69.541	Vapor-Liquid	3	
343.89	71.145	Vapor-Liquid	2	
347.92	81.740	Vapor-Liquid	3	
349.46	85.512	Vapor-Liquid	2	
352.61	94.299	Vapor-Liquid	3	
355.02	101.990	Vapor-Liquid	2	
355.04	102.010	Vapor-Liquid	2	
358.13	106.671	Vapor-Liquid	3	
362.81	129.389	Vapor-Liquid	3	
367.67	149.041	Vapor-Liquid	3	
373.04	173.839	Vapor-Liquid	3	
377.45	196.411	Vapor-Liquid	3	
379.13	205.900	Vapor-Liquid	1	
398.35	343.200	Vapor-Liquid	1	
418.40	514.800	Vapor-Liquid	1	
438.90	784.400	Vapor-Liquid	4	
440.82	814.900	Vapor-Liquid	1	
440.90	842.800	Vapor-Liquid	4	
442.60	862.300	Vapor-Liquid	4	
444.50	876.900	Vapor-Liquid	4	
447.90	960.300	Vapor-Liquid	4	
450.50	999.200	Vapor-Liquid	4	
455.70	1116.500	Vapor-Liquid	4	
456.89	1150.200	Vapor-Liquid	1	
460.20	1234.600	Vapor-Liquid	4	
473.81	1553.800	Vapor-Liquid	1	
489.52	2030.100	Vapor-Liquid	1	
501.33	2469.800	Vapor-Liquid	1	
505.30	2604.900	Vapor-Liquid	4	
508.10	2704.600	Vapor-Liquid	4	
512.06	2880.300	Vapor-Liquid	1	
512.10	2924.000	Vapor-Liquid	4	
519.70	3243.300	Vapor-Liquid	4	
520.53	3249.600	Vapor-Liquid	1	
521.60	3303.100	Vapor-Liquid	4	
524.80	3482.800	Vapor-Liquid	4	
528.25	3581.300	Vapor-Liquid	1	
530.10	3722.100	Vapor-Liquid	4	
534.21	3871.900	Vapor-Liquid	1	
Number	Source	
1	Shakhmuradov Sh.G.; Guseinov S.O.: Untersuchung thermodynamischer Eigenschaften von gesättigten Nitrillen im breiten Temperatur und Druckbereich. Izv.Vyssh.Uchebn.Zaved.Neft Gaz  (1984) 65-69	
2	Meyer E.F.; Renner T.A.; Stec K.S.: II. The n-Alkyl Nitriles and the 1-Chloralkanes. J.Phys.Chem. 75 (1971) 642-648	
3	Heim G.: Tensions de vapeur et chaleurs latentes de vaporisation de quelques nitriles normaux. Bull.Soc.Chim.Belg. 42 (1933) 467-482	
4	Mousa A.H.N.: Vapour Pressure and Saturated-Vapour Volume of Acetonitrile. J.Chem.Thermodyn. 13 (1981) 201-202	
5	Baughan E.C.; Jones A.L.; Stewart K.: The absorption of organic vapours by thin films of nitrocellulose. Proc.Roy.Soc.London Ser.A 225 (1954) 478-504	
6	Clarke H.A.; Missen R.W.: Excess Free Energies and Entropies at 45°C for Ternary System Acetonitrile-Benzene-Carbon Tetrachloride. J.Chem.Eng.Data 19 (1974) 343-346	
$$$Virial Coefficients	
T [K]	Second Virial Coefficient [cm3/mol]	State	Reference	
308.15	-5350.0000	Vapor	1	
313.15	-5250.0000	Vapor	4	
323.15	-4280.0000	Vapor	1	
323.15	-4148.0000	Vapor	2	
333.15	-3620.0000	Vapor	4	
338.15	-3150.0000	Vapor	1	
339.09	-3000.0000	Vapor	5	
353.15	-2521.0000	Vapor	2	
353.15	-2400.0000	Vapor	1	
353.25	-2610.0000	Vapor	4	
358.13	-2300.0000	Vapor	5	
373.15	-1968.0000	Vapor	2	
373.55	-1930.0000	Vapor	4	
403.15	-1443.6000	Vapor	3	
403.15	-1290.0000	Vapor	2	
423.15	-1243.3000	Vapor	3	
423.15	-1238.8000	Vapor	3	
423.15	-1230.0000	Vapor	2	
433.15	-1155.8000	Vapor	3	
443.15	-1075.2001	Vapor	3	
443.15	-1070.9000	Vapor	3	
463.15	-940.4000	Vapor	3	
Number	Source	
1	Zaalishvili Sh.D.; Kolysko L.E.; Gorodinskaya E.Ya.: II. Acetonitril. Zh.Fiz.Khim. 45 (1971) 2648-2649	
2	Kolysko L.E.; Mozhginskaya L.V.; Gorodinskaya E.Ya.: Ein Apparat zur Bestimung der P-V-T-N-Daten bei niedrigen Drücken. Zh.Fiz.Khim. 46 (1972) 1046-1048	
3	Warowny W.: Volumetric and phase behavior of acetonitrile at temperatures from 363 to 463 K.. J.Chem.Eng.Data 39 (1994) 275-280	
4	Prausnitz J.M.; Carter W.B.: Second Virial Coefficients of the Acetonitrile - Acetaldehyde System.. AIChE J. 6 (1960) 611-614	
5	Lambert J.D.; Staines E.N.; Woods S.D.: Thermal Conductivities of Organic Vapours.. Proc.Roy.Soc.London Ser.A 200 (1950) 262-271	
