Formula	Molar Mass	CAS Registry Number	Name
C4H10O	74.123	60-29-7	Diethyl ether
$$$Critical Data
T [K]	P [kPa]	State	Reference
463.37		Critical Point	1
466.73		Critical Point	5
466.74	3637.600	Critical Point	3
466.75		Critical Point	6
467.40		Critical Point	2
467.55		Critical Point	4
Number	Source
1	Audant M.: Contribution to the Study on the Critical State of Ethyl Ether. C.R.Hebd.Seanc.Acad.Sci.Paris 170 (1920) 1573-1575
2	Rätzsch M.: Kritische Temperaturen binärer Systeme. Z.Phys.Chem.(Leipzig) 243 (1970) 212-220
3	Ambrose D.; Sprake C.H.S.; Townsend R.: XXIX. The Vapour Pressure of Diethyl Ether. J.Chem.Thermodyn. 4 (1972) 247-254
4	Centnerszwer M.: Determination of the critical volumes using the method of Cailletet and Mathias. (Ger). Z.Phys.Chem.(Leipzig) 46 (1903) 199-207
5	Young F.B.: Critical phenomena at ether. (Ger). Chem.Zentralbl. 2 (1910) 1854-1854
6	Travers M.W.; Usher F.L.: Behaviour of some substances at critical temperature. (Ger). Chem.Zentralbl. 2 (1907) 4-5
$$$Density
T [K]	P [kPa]	Density [kg/m3]	State	Reference
292.36	172.20	Liquid	3
295.38	171.80	Liquid	3
296.46	172.00	Liquid	3
299.39	172.70	Liquid	3
Number	Source
1	Parks G.S.; Huffman H.M.: Thermal Data on Organic Compounds. IV. The Heat Capacities, Entropies and Free Energies of Normal Propyl Alcohol, Ethyl Ether and Dulcitol. J.Am.Chem.Soc. 48 (1926) 2788-2793
2	Eucken A.: Assoziation in Flüssigkeiten. Z.Elektrochem.Angew.Physik.Chem. 52 (1948) 255-269
3	Counsell J.F.; Lee D.A.; Martin J.F.: Thermodynamic properties of organic oxygen compounds. Part XXVI. Diethyl ether.. J.Chem.Soc.A  (1971) 313-316
$$$Molar Heat Capacity (cV)
T [K]	Molar Heat Capacity (Cv) [J/(mol*K)]	State	Reference
280.00	55.27	Vapor	1
347.72	185.75	Liquid	2
347.84	183.90	Liquid	2
347.96	187.16	Liquid	2
348.07	182.49	Liquid	2
348.19	185.97	Liquid	2
348.31	185.09	Liquid	2
348.43	185.01	Liquid	2
348.55	183.31	Liquid	2
357.73	182.42	Liquid	2
357.90	183.53	Liquid	2
358.14	182.27	Liquid	2
358.32	180.71	Liquid	2
358.50	181.90	Liquid	2
362.98	183.38	Liquid	2
363.10	185.53	Liquid	2
363.21	183.75	Liquid	2
363.33	186.12	Liquid	2
363.44	184.34	Liquid	2
363.58	187.90	Liquid	2
373.32	188.94	Liquid	2
373.43	188.20	Liquid	2
373.54	191.39	Liquid	2
373.66	188.42	Liquid	2
373.77	190.05	Liquid	2
373.89	191.16	Liquid	2
373.90	189.53	Liquid	2
374.00	188.49	Liquid	2
374.00	189.38	Liquid	2
374.11	187.31	Liquid	2
374.12	190.79	Liquid	2
374.23	187.09	Liquid	2
374.35	188.12	Liquid	2
385.73	192.79	Liquid	2
386.06	195.31	Liquid	2
386.34	195.83	Liquid	2
386.40	198.06	Liquid	2
386.51	194.20	Liquid	2
397.58	203.99	Liquid	2
397.68	202.73	Liquid	2
397.90	203.17	Liquid	2
398.01	205.02	Liquid	2
398.01	206.14	Liquid	2
398.12	206.80	Liquid	2
398.13	204.13	Liquid	2
398.23	203.54	Liquid	2
398.23	206.80	Liquid	2
398.34	203.84	Liquid	2
398.34	204.80	Liquid	2
398.45	206.51	Liquid	2
398.56	205.47	Liquid	2
398.67	202.80	Liquid	2
398.89	205.17	Liquid	2
409.43	211.55	Liquid	2
409.54	212.73	Liquid	2
409.64	212.29	Liquid	2
409.75	210.73	Liquid	2
409.86	211.32	Liquid	2
409.97	213.33	Liquid	2
410.07	209.99	Liquid	2
410.18	210.06	Liquid	2
410.18	212.29	Liquid	2
410.29	211.47	Liquid	2
410.51	210.95	Liquid	2
410.61	212.36	Liquid	2
410.72	213.84	Liquid	2
410.94	212.14	Liquid	2
414.80	213.33	Liquid	2
414.91	211.84	Liquid	2
415.02	212.29	Liquid	2
415.12	213.33	Liquid	2
415.23	216.07	Liquid	2
415.34	214.73	Liquid	2
415.44	213.84	Liquid	2
415.55	215.48	Liquid	2
415.66	214.07	Liquid	2
415.76	214.59	Liquid	2
415.87	216.29	Liquid	2
415.98	217.25	Liquid	2
416.08	216.74	Liquid	2
416.10	156.77	Vapor	2
416.10	218.00	Liquid	2
416.11	156.03	Vapor	2
416.19	155.21	Vapor	2
416.30	153.58	Vapor	2
416.41	154.55	Vapor	2
416.51	153.66	Vapor	2
416.62	153.21	Vapor	2
417.58	153.58	Vapor	2
417.69	154.25	Vapor	2
417.79	153.36	Vapor	2
417.79	217.77	Liquid	2
417.90	154.32	Vapor	2
418.01	153.88	Vapor	2
418.01	219.33	Liquid	2
418.11	218.44	Liquid	2
418.22	220.59	Liquid	2
418.33	218.89	Liquid	2
418.43	219.70	Liquid	2
418.54	220.59	Liquid	2
421.52	155.29	Vapor	2
421.62	219.92	Liquid	2
421.72	224.00	Liquid	2
421.73	154.69	Vapor	2
421.83	155.14	Vapor	2
421.83	218.89	Liquid	2
421.94	154.25	Vapor	2
421.94	221.92	Liquid	2
422.05	154.10	Vapor	2
422.15	218.51	Liquid	2
422.15	223.04	Liquid	2
422.26	219.70	Liquid	2
422.26	220.00	Liquid	2
422.36	221.03	Liquid	2
422.48	221.33	Liquid	2
422.58	217.70	Liquid	2
422.58	222.89	Liquid	2
422.68	220.52	Liquid	2
422.79	219.48	Liquid	2
422.80	219.26	Liquid	2
422.89	217.40	Liquid	2
423.00	216.22	Liquid	2
423.11	218.89	Liquid	2
424.05	219.11	Liquid	2
424.15	223.93	Liquid	2
424.26	222.89	Liquid	2
424.36	225.26	Liquid	2
424.47	219.63	Liquid	2
424.58	226.00	Liquid	2
424.68	218.29	Liquid	2
424.79	221.78	Liquid	2
424.89	223.55	Liquid	2
425.02	218.96	Liquid	2
425.06	222.74	Liquid	2
425.11	225.63	Liquid	2
425.15	222.52	Liquid	2
425.19	159.36	Vapor	2
425.19	223.11	Liquid	2
425.23	158.03	Vapor	2
425.28	155.88	Vapor	2
425.32	154.40	Vapor	2
425.36	156.62	Vapor	2
425.45	155.51	Vapor	2
425.53	154.40	Vapor	2
425.63	154.77	Vapor	2
425.74	153.88	Vapor	2
426.05	154.92	Vapor	2
426.16	154.62	Vapor	2
426.25	155.95	Vapor	2
426.26	154.10	Vapor	2
426.37	154.77	Vapor	2
426.48	153.95	Vapor	2
426.49	156.40	Vapor	2
426.58	154.18	Vapor	2
426.59	154.10	Vapor	2
426.69	154.32	Vapor	2
426.70	154.69	Vapor	2
426.79	155.21	Vapor	2
426.80	155.29	Vapor	2
426.90	154.84	Vapor	2
426.91	154.32	Vapor	2
426.96	155.58	Vapor	2
427.00	154.55	Vapor	2
433.20	157.73	Vapor	2
433.31	158.10	Vapor	2
433.41	156.33	Vapor	2
433.52	158.10	Vapor	2
433.62	157.07	Vapor	2
433.73	155.44	Vapor	2
433.83	155.14	Vapor	2
434.77	226.52	Liquid	2
434.98	229.26	Liquid	2
435.18	226.89	Liquid	2
435.29	227.93	Liquid	2
435.50	225.93	Liquid	2
435.81	229.78	Liquid	2
435.92	228.97	Liquid	2
436.02	228.22	Liquid	2
436.13	226.96	Liquid	2
436.39	228.60	Liquid	2
436.65	229.34	Liquid	2
436.80	227.71	Liquid	2
437.06	228.45	Liquid	2
437.14	229.48	Liquid	2
439.24	158.10	Vapor	2
439.35	157.36	Vapor	2
439.45	158.48	Vapor	2
439.55	159.14	Vapor	2
439.66	158.48	Vapor	2
439.76	157.07	Vapor	2
439.86	156.70	Vapor	2
439.97	158.77	Vapor	2
449.24	157.88	Vapor	2
449.34	158.62	Vapor	2
449.45	159.29	Vapor	2
449.55	159.66	Vapor	2
449.75	158.62	Vapor	2
449.85	159.29	Vapor	2
449.96	160.03	Vapor	2
460.94	163.52	Vapor	2
461.04	162.18	Vapor	2
461.14	161.51	Vapor	2
461.25	163.00	Vapor	2
461.35	160.85	Vapor	2
461.45	161.51	Vapor	2
471.19	164.92	Vapor	2
471.29	165.29	Vapor	2
471.39	163.07	Vapor	2
471.49	163.07	Vapor	2
471.59	164.92	Vapor	2
471.69	163.81	Vapor	2
Number	Source
1	Maikowski M.: Molwärmemessungen an Dämpfen bei kleinen Drucken. Master's Thesis  (1949)
2	Polikhronidi N.G.; Abdulagatov I.M.; Batyrova R.G.; Stepanov G.V.; Wu J.T.4; Ustuzhanin E.E.: Experimental Study of the Isochoric Heat Capacity of Diethyl Ether (DEE) in the Critical and Supercritical Regions. Int.J.Thermophys. 33 (2012) 185-219
$$$Speed of Sound
T [K]	Ultrasonic Velocity [m/s]	State	Reference
273.15	1095.000	Liquid	3
283.15	1054.000	Liquid	3
283.15	1064.000	Liquid	5
293.15	1006.000	Liquid	3
293.15	1008.000	Liquid	2
293.15	1010.000	Liquid	5
298.15	982.000	Liquid	4
298.15	985.000	Liquid	1
303.15	949.000	Liquid	3
303.15	957.000	Liquid	5
370.25	206.540	Vapor	6
407.15	217.450	Vapor	6
Number	Source
1	Willard G W.: Temperature Coefficients of Ultrasonic Velocity in Solutions. J.Acoust.Soc.Am. 19 (1947) 235-241
2	Schaaffs W.: I.Teil: Die Schallgeschwindigkeit in organischen Flüssigkeiten. Z.Phys.Chem.(Leipzig) 194 (1944) 28-38
3	Freyer E.B.; Hubbard J.C.; Andrews D.H.: Sonic Studies of the Physical Properties of Liquids. I. The Sonic Interferometer. The Velocity of Sound in Some Organic Liquids and Their Compressibilities. J.Am.Chem.Soc. 51 (1929) 759-770
4	Gabrielli I.; Poiani G.: Misure di velocita degli ultrasuoni in alcune mescolanze di liquidi. Ricerca Scient. (Roma) 22 (1952) 1424-1432
5	Syuzyaev V.I.; Berdyev A.A.: Study of ultrasound speed distribution in the systems with chloral. Izv.AN Turkmen.SSR Ser.Fiz.-Mat.Tekh.Khim.Geol.Nauk  (1957) 9-15
6	Jatkar S.K.K.: Part V. Specific Heats of Vapours of Acetone, Benzene, Cyclohexane, n-Hexane, Methyl, Ethyl, and n-Propyl Ethers. J.Indian Inst.Sci.Sec.A Sci. 22 (1939) 19-37
$$$Std. Heat of Combustion
T [K]	Molar Enthalpy [J/mol]	State	Reference
298.00	-2751060.00	Vapor	1
298.15	-2723500.00	Liquid	2
Number	Source
1	Domalski E.S.: Selected Values of Heats of Combustion and Heats of Formation of Organic Compounds Containing the Elements C, H, N, O, P, and S. J.Phys.Chem.Ref.Data 1 (1972) 221-277
2	Lautenschütz L.; Oestreich D.; Seidenspinner P.; Arnold U.; Dinjus E.; Sauer J.: Physico-chemical properties and fuel characteristics of oxymethylene dialkyl ethers. Fuel 173 (2016) 129-137
$$$Std. Heat of Formation
T [K]	Molar Enthalpy [J/mol]	State	Reference
298.00	-252212.00	Vapor	2
298.00	-252128.00	Vapor	3
298.00	-250287.00	Vapor	1
Number	Source
1	Pihlaja K.; Heikkila J.: Heats of combustion. Diethyl ether and 1,1-diethoxyethane.. Acta Chem.Scand. 22 (1968) 2731-2732
2	Pilcher G.; Skinner H.A.; Pell S.A.; Pope A.E.: Measurements of heats of combustion by flame calorimetry.. Trans.Faraday Soc. 59 (1963) 316-330
3	Domalski E.S.: Selected Values of Heats of Combustion and Heats of Formation of Organic Compounds Containing the Elements C, H, N, O, P, and S. J.Phys.Chem.Ref.Data 1 (1972) 221-277
$$$Surface Tension
T [K]	P [kPa]	Surface Tension [mN/m]	State	Reference
287.15		17.8000	Liquid	3
288.15		17.6200	Liquid	5
291.55	101.325	17.2500	Liquid	4
293.15		16.9600	Liquid	6
293.15		17.0600	Liquid	5
296.75	101.325	16.7800	Liquid	4
298.15		16.5000	Liquid	1
298.15		17.3000	Liquid	2
298.15		17.4000	Liquid	2
298.15		17.5000	Liquid	2
298.15		17.6000	Liquid	2
302.55	101.325	16.2500	Liquid	4
303.15		15.9500	Liquid	5
Number	Source
1	Koefoed J.; Villadsen J.V.: Chloroform-Carbon Tetrachloride, Benyene-Diphenylmethane and Heptane-Hexadecane. Acta Chem.Scand. 12 (1958) 1124-1135
2	Andreas J.M.; Hauser E.A.; Tucker W.B.: Boundary tension by pendant drops.. J.Phys.Chem. 42 (1938) 1001-1019
3	Green S.J.; Olden M.J.F.: The insoluble matter of coal tar. VII. Dilution of tars.. J.Appl.Chem. 1 (1951) 433-443
4	Vogel A.I.: Part XII. Ethers and Acetals.. J.Chem.Soc.London  (1948) 616-624
5	Hennaut-Roland L.; Lek M.: Methods and equipment used at the Bureau of Physico-Chem. Standards.IV. Surface tension of a series of org. substances.. Bull.Soc.Chim.Belg. 40 (1931) 177-188
6	Richards T.W.; Carver E.K.: A critical study of the capillary rise method of determining surface tension, with data for water, benzene, toluene, chloroform, carbon tetrachloride, ether and dimethyl aniline.. J.Am.Chem.Soc. 43 (1921) 827-847
$$$Thermal Conductivity
T [K]	P [kPa]	Thermal Conductivity [W/(m*K)]	State	Reference
273.15		0.1382	Liquid	4
273.15		0.1390	Liquid	4
293.15		0.1256	Liquid	4
293.15		0.1277	Liquid	4
293.15		0.1285	Liquid	4
298.15		0.1306	Liquid	3
303.15		0.1239	Liquid	4
303.15		0.1243	Liquid	4
318.80		0.01609	Vapor	1
318.80		0.0163	Vapor	1
333.35	101.000	0.01809	Vapor	2
348.15		0.01947	Vapor	5
352.25	101.000	0.01995	Vapor	2
364.15	26.660	0.0214	Vapor	6
369.90		0.02224	Vapor	1
369.90		0.0227	Vapor	1
373.85	101.000	0.0222	Vapor	2
383.25		0.02345	Vapor	5
399.10		0.02483	Vapor	1
399.10		0.0252	Vapor	1
399.15	101.000	0.02516	Vapor	2
422.15	101.000	0.02784	Vapor	2
433.80		0.02927	Vapor	1
433.80		0.0297	Vapor	1
456.80		0.03223	Vapor	1
456.80		0.0325	Vapor	1
482.90		0.03541	Vapor	1
507.20		0.03865	Vapor	1
507.20		0.0394	Vapor	1
529.10		0.04421	Vapor	1
531.30		0.0455	Vapor	1
545.90		0.0497	Vapor	1
545.90		0.04971	Vapor	1
549.60		0.0495	Vapor	1
559.50		0.0520	Vapor	1
572.30		0.05931	Vapor	1
572.30		0.0601	Vapor	1
Number	Source
1	Madzhidov Kh.: Experimentelle Untersuchung der Wärmeleitfähigkeitskoeffizient von Diethyläther bei verschiedenen Temperaturen und Drücken. Izv.Vyssh.Uchebn.Zaved.Neft Gaz  (1983) 56-60
2	Vines R.G.; Bennet L.A.: The Thermal Conductivity of Organic Vapors. The Relationship Betweenthermal Conductivity and Viscosity, and the Significance of the Eucken Factor.. J.Chem.Phys. 22 (1954) 360-366
3	Spencer A.N.; Todd M.C.J.: Viscosity and thermal conductivity of liquid boron trifluoride.. Br.J.Appl.Phys. 11 (1960) 60-64
4	Mason H.L.: Thermal Conductivity of some Industrial Liquids from 0 to 100 C.. Trans. ASME 76 (1954) 817-821
5	Vines R.G.: The Influence of Molecular Interaction.. Aust.J.Chem. 6 (1953) 1-26
6	Schluender E.U.: Measurement of Thermal Conductivity of Gase/Vapour Mixtures.. Chem.Ing.Tech. CIT 36 (1964) 115-125
$$$Transition Temperature
T [K]	P [kPa]	State	Reference
92.55		Glass > Crystal	2
149.85		Crystal 2 > Crystal 1	1
Number	Source
1	Timmermans J.; Van Der Horst H.; Kamerlingh Onnes H.: Les points de congélation de liquides organiques purs comme repères thermométriques aux températures inférieures à 0°C. C.R.Hebd.Seanc.Acad.Sci.Paris 174 (1922) 365-367
2	Lesikar A.V.: Effect of Association Complexes on the Glass Transition in Organic Halide Mixtures. J.Phys.Chem. 80 (1976) 1005-1011
$$$Vapor Pressure
T [K]	P [kPa]	State	Reference
171.85	0.007733	Vapor-Liquid	3
176.45	0.0128	Vapor-Liquid	3
177.95	0.015732	Vapor-Liquid	3
179.75	0.020	Vapor-Liquid	3
185.05	0.036	Vapor-Liquid	3
189.65	0.05906	Vapor-Liquid	3
192.15	0.07786	Vapor-Liquid	3
194.65	0.1016	Vapor-Liquid	3
196.95	0.12652	Vapor-Liquid	3
208.15	0.26664	Vapor-Liquid	1
212.35	0.5266	Vapor-Liquid	2
217.40	0.7906	Vapor-Liquid	2
219.15	0.6666	Vapor-Liquid	1
222.28	1.1692	Vapor-Liquid	2
227.15	1.6825	Vapor-Liquid	2
229.15	1.2666	Vapor-Liquid	1
232.03	2.3705	Vapor-Liquid	2
236.92	3.3024	Vapor-Liquid	2
239.15	2.800	Vapor-Liquid	1
241.82	4.537	Vapor-Liquid	2
246.73	6.108	Vapor-Liquid	2
247.15	4.933	Vapor-Liquid	1
251.65	8.174	Vapor-Liquid	2
254.15	7.333	Vapor-Liquid	1
256.57	10.755	Vapor-Liquid	2
259.15	10.266	Vapor-Liquid	1
261.51	13.971	Vapor-Liquid	2
265.15	15.199	Vapor-Liquid	1
266.45	17.966	Vapor-Liquid	2
273.15	25.331	Vapor-Liquid	1
273.16	24.815	Vapor-Liquid	2
278.13	31.161	Vapor-Liquid	2
283.09	38.746	Vapor-Liquid	2
288.05	47.749	Vapor-Liquid	2
293.02	58.355	Vapor-Liquid	2
298.15	71.487	Vapor-Liquid	5
307.85	101.325	Vapor-Liquid	6
373.15	666.718	Vapor-Liquid	4
383.15	846.064	Vapor-Liquid	4
393.15	1053.780	Vapor-Liquid	4
403.15	1287.840	Vapor-Liquid	4
413.15	1562.430	Vapor-Liquid	4
423.15	1888.700	Vapor-Liquid	4
433.15	2263.600	Vapor-Liquid	4
443.15	2715.510	Vapor-Liquid	4
453.15	3232.270	Vapor-Liquid	4
463.15	3738.890	Vapor-Liquid	4
Number	Source
1	Emeleus H.J.: The Light Emission from the Phosphorescent Flames of Ether, Acetaldehyde, Propaldehyde, and Hexane. J.Chem.Soc.London  (1929) 1733-1739
2	Taylor R.S.; Smith L.B.: The Vapor Pressures, Densities and some Derived Quantities for Ether at Low Temperatures. J.Am.Chem.Soc. 44 (1922) 2450-2463
3	Muendel C.F.: Experimentelle Bestimmung und theoretische Berechnung kleiner Dampfdrucke bei tiefen Temperaturen. Z.Phys.Chem.(Leipzig) 85 (1913) 435-465
4	Sajotschewsky W.: Dampfspannungen gesaettigter Daempfe bei hohen Temperaturen. Ann.Phys./Beibl. 3 (1879) 741-743
5	Wong K.F.; Eckert C.A.: Vapor-Liquid Equilibria of 1,3-Butadiene Systems. J.Chem.Eng.Data 14 (1969) 432-436
6	Satyanarayana M.; Rao M.N.: Vapor-Liquid Equilibria of Non-Ideal Solutions at Atmospheric and Super-Atmospheric Pressures-Benzene-Cyclohexane-Diethyl Ether System. Trans.Indian Inst.Chem.Engrs. 13 (1961) 4-12
$$$Virial Coefficients
T [K]	Second Virial Coefficient [cm3/mol]	State	Reference
295.15	-1226.0000	Vapor	5
298.15	-1165.0000	Vapor	4
302.79	-1116.0000	Vapor	2
308.15	-1084.0000	Vapor	5
322.75	-923.0000	Vapor	2
323.15	-960.0000	Vapor	1
323.15	-950.0000	Vapor	5
323.25	-995.0000	Vapor	4
333.15	-895.0000	Vapor	3
333.15	-850.0000	Vapor	1
339.15	-790.0000	Vapor	1
343.15	-760.0000	Vapor	1
344.97	-757.0000	Vapor	2
348.15	-770.0000	Vapor	4
353.15	-730.0000	Vapor	1
353.15	-677.0000	Vapor	3
358.15	-720.0000	Vapor	1
363.26	-654.0000	Vapor	2
368.15	-630.0000	Vapor	4
373.15	-525.0000	Vapor	3
Number	Source
1	Zaalishvili Sh.D.; Kolysko L.E.: I. Das System Diethylester-Aceton. Zh.Fiz.Khim. 34 (1960) 2596-2600
2	McElroy P.J.; Robertson G.A.; Kolahi S.S.: Excess Second Virial Coefficients and Mixture Critical Temperatures of Diethyl Ether and Methyl Acetate. J.Chem.Eng.Data 35 (1990) 427-429
3	Knoebel D.H.; Edmister W.C.: Second Virial Coefficients of Binary Mixtures of Benzene with Methanol, Ethanol, Acetone, and Diethyl Ether.. J.Chem.Eng.Data 13 (1968) 312-317
4	Stryjek R.; Kreglewski A.: The second virial coefficients of gaseous mixtures. I. The diethyl ether - sulphur dioxide systems.. Bull.Acad.Pol.Sci.Ser.Sci.Chim. 13 (1965) 201-207
5	Bottomley G.A.; Reeves C.G.: The virial coefficients of carbon disulphide, diethyl ether, and n-hexane.. J.Chem.Soc.London 126 (1958) 3794-3799
