Formula	Molar Mass	CAS Registry Number	Name
C5H9NO	99.133	872-50-4	N-Methyl-2-pyrrolidone
$$$Compressibility (isothermal)
389.30	6.933	Vapor-Liquid	1
394.30	7.999	Vapor-Liquid	6
394.35	8.133	Vapor-Liquid	1
395.95	8.811	Vapor-Liquid	5
400.74	10.329	Vapor-Liquid	2
401.98	10.666	Vapor-Liquid	6
402.75	11.732	Vapor-Liquid	1
404.15	13.199	Vapor-Liquid	1
406.25	13.466	Vapor-Liquid	1
408.00	13.666	Vapor-Liquid	5
408.19	13.332	Vapor-Liquid	6
414.63	16.665	Vapor-Liquid	6
415.40	17.628	Vapor-Liquid	5
419.99	19.933	Vapor-Liquid	6
420.71	20.701	Vapor-Liquid	2
420.82	21.108	Vapor-Liquid	5
425.00	24.166	Vapor-Liquid	5
427.02	25.023	Vapor-Liquid	6
427.65	27.998	Vapor-Liquid	1
428.77	27.225	Vapor-Liquid	5
432.26	30.348	Vapor-Liquid	5
433.46	31.022	Vapor-Liquid	2
434.11	31.177	Vapor-Liquid	6
435.46	33.452	Vapor-Liquid	5
438.32	36.450	Vapor-Liquid	5
439.35	40.663	Vapor-Liquid	1
441.10	39.574	Vapor-Liquid	5
441.22	38.565	Vapor-Liquid	6
443.20	41.475	Vapor-Liquid	2
443.39	42.317	Vapor-Liquid	5
446.05	45.679	Vapor-Liquid	5
448.39	47.375	Vapor-Liquid	6
448.40	48.840	Vapor-Liquid	5
449.25	53.862	Vapor-Liquid	1
450.51	51.828	Vapor-Liquid	5
450.92	51.630	Vapor-Liquid	2
452.60	54.921	Vapor-Liquid	5
454.68	58.158	Vapor-Liquid	5
455.58	57.817	Vapor-Liquid	6
457.25	67.194	Vapor-Liquid	1
457.69	62.166	Vapor-Liquid	2
462.82	70.120	Vapor-Liquid	6
463.49	72.425	Vapor-Liquid	2
465.15	80.660	Vapor-Liquid	1
467.35	88.526	Vapor-Liquid	1
468.75	82.826	Vapor-Liquid	2
470.10	84.533	Vapor-Liquid	6
473.15	98.125	Vapor-Liquid	1
473.41	93.043	Vapor-Liquid	2
475.24	97.304	Vapor-Liquid	2
477.36	102.432	Vapor-Liquid	2
477.42	101.325	Vapor-Liquid	6
479.15	101.325	Vapor-Liquid	1
484.77	120.790	Vapor-Liquid	6
492.17	143.250	Vapor-Liquid	6
499.60	169.020	Vapor-Liquid	6
507.08	198.490	Vapor-Liquid	6
514.58	232.020	Vapor-Liquid	6
522.13	270.020	Vapor-Liquid	6
Number	Source
1	Alekseev V.G.; Bushinskii V.I.; Ermakova Z.V.: Einige thermodynamische Eigenschaften von N-Methylpyrrolidom und seine wässrigen Lösungen. Oniitekhim  (1988) 1-10
2	Kneisl P.; Zondlo J.W.: Vapor Pressure, Liquid Density, and the Latent Heat of Vaporization as Functions of Temperature for Four Dipolar Aprotic Solvents.. J.Chem.Eng.Data 32 (1987) 11-13
3	Linek J.; Wichterle I.; Marsh K.N.: Vapor-Liquid Equilibria for N-Methyl-2-pyrrolidone + Benzene, +Toluene, + Heptane, and + Methylcyclohexane. J.Chem.Eng.Data 41 (1996) 1212-1218
4	Aim K.: Measurement of Vapor-Liquid Equilibrium in Systems with Components of Very Different Volatility by the Total Pressure Static Method. Fluid Phase Equilib. 2 (1978) 119-142
5	Gierycz P.; Rogalski M.; Malanowski S.: Vapor-Liquid Equilibria in Binary System Formed by N-Methylpyrrolidone with Hydrocarbons and Hydroxyl Derivatives   Vapor-Liquid Equilibria in Binary Systems Formed by N-Methylpyrrolidone with Hydrocarbons and Hydroxyl Derivatives. Fluid Phase Equilib. 22 (1985) 107-122
6	Steele W.V.; Chirico R.D.; Nguyen A.; Hossenlopp I.A.; Smith N.K.: Determination of Ideal-Gas Enthalpies of Formation for Key Compounds. AIChE Symp.Ser. 86 (1990) 138-154
$$$Virial Coefficients
T [K]	Second Virial Coefficient [cm3/mol]	State	Reference
298.00	-4331.0000	Vapor	1
323.00	-3462.0000	Vapor	1
348.00	-2825.0000	Vapor	1
Number	Source
1	Technische Hochschule Carl Schorlemmer Leuna-Merseburg, Merseburg (GDR): Unpublished data. Unpublished Data  (1989) 1-360
