Formula	Molar Mass	CAS Registry Number	Name
CH4	16.043	74-82-8	Methane
$$$Compressibility Factor (isothermal)
T [K]	P [kPa]	Compressibility Factor (isothermal) [-]	State	Reference
119.96		7911.90	Vapor-Liquid	3
119.99		7514.50	Vapor-Liquid	3
140.07		7071.00	Vapor-Liquid	3
150.00		6619.10	Vapor-Liquid	3
160.05		5945.50	Vapor-Liquid	3
166.50		5612.60	Vapor-Liquid	6
170.00		5200.70	Vapor-Liquid	3
180.15		4025.00	Vapor-Liquid	3
184.71		3176.00	Vapor-Liquid	3
186.60		2779.60	Vapor-Liquid	6
Number	Source
1	Talitskikh S.K.; Khalatur P.G.: Application of Rism-Theory for the Calculation of Heat of Vaporization of Liquid Hydrocarbons. Zh.Fiz.Khim. 66 (1992) 137-139
2	Colwell J.H.; Gill E.K.; Morrison J.A.: Thermodynamic properties of CH4 and CD4.. J.Chem.Phys. 40 (1964) 2041-2042
3	Hestermans P.; White D.: The vapor pressure, heat of vaporization and heat capacity of methane from the boiling point to the critical temperature. J.Phys.Chem. 65 (1961) 362-365
4	Frank A.; Clusius K.: Präzisionsmessungen der Verdampfungswärme der Gase O2, H2S, PH3, A, COS, CH4 und CH3D. Z.Phys.Chem.Abt.B 42 (1939) 395-421
5	Cutler A.J.B.; Morrison J.A.: Excess Thermodynamic Functions for Liquid Mixtures of Methane + Propane. Trans.Faraday Soc. 61 (1965) 429-442
6	Tully P.C.; Edmister W.C.: Isobaric integral heats of vaporization for methane-ethylene system.. AIChE J. 13 (1967) 155-159
$$$Ideal Gas Heat Capacity
T [K]	Ideal Gas Heat Capacity [J/(mol*K)]	State	Reference
60.00	33.266	Ideal Gas	6
80.00	33.27	Ideal Gas	6
90.67	33.27	Ideal Gas	6
100.00	33.26	Ideal Gas	3
100.00	33.274	Ideal Gas	6
111.67	33.276	Ideal Gas	6
120.00	33.28	Ideal Gas	6
140.00	33.29	Ideal Gas	6
160.00	33.316	Ideal Gas	6
180.00	33.38	Ideal Gas	6
200.00	33.47	Ideal Gas	3
200.00	33.51	Ideal Gas	6
220.00	33.73	Ideal Gas	6
240.00	34.06	Ideal Gas	6
255.00	34.39	Ideal Gas	1
260.00	34.506	Ideal Gas	6
273.15	34.85	Ideal Gas	2
273.15	34.87	Ideal Gas	6
273.16	34.88	Ideal Gas	1
280.00	35.08	Ideal Gas	6
283.15	35.19	Ideal Gas	2
293.15	35.52	Ideal Gas	2
294.25	35.564	Ideal Gas	4
298.15	35.704	Ideal Gas	6
298.15	35.73	Ideal Gas	2
298.16	35.65	Ideal Gas	3
298.16	35.715	Ideal Gas	5
300.00	35.73	Ideal Gas	3
300.00	35.774	Ideal Gas	6
300.00	35.80	Ideal Gas	1
303.15	35.94	Ideal Gas	2
310.95	36.22	Ideal Gas	4
313.15	36.32	Ideal Gas	2
320.00	36.58	Ideal Gas	6
323.15	36.736	Ideal Gas	2
327.55	36.93	Ideal Gas	4
333.15	37.196	Ideal Gas	2
340.00	37.475	Ideal Gas	6
344.25	37.70	Ideal Gas	4
353.15	38.20	Ideal Gas	2
360.00	38.456	Ideal Gas	6
360.95	38.556	Ideal Gas	4
373.15	39.204	Ideal Gas	2
377.55	39.44	Ideal Gas	4
380.00	39.504	Ideal Gas	6
400.00	40.54	Ideal Gas	3
400.00	40.60	Ideal Gas	6
400.00	40.735	Ideal Gas	5
450.00	43.50	Ideal Gas	6
473.15	44.98	Ideal Gas	2
500.00	46.40	Ideal Gas	3
500.00	46.51	Ideal Gas	6
500.00	46.58	Ideal Gas	5
550.00	49.52	Ideal Gas	6
573.15	50.96	Ideal Gas	2
600.00	52.30	Ideal Gas	3
600.00	52.49	Ideal Gas	5
650.00	55.39	Ideal Gas	6
673.15	56.65	Ideal Gas	2
700.00	57.87	Ideal Gas	3
700.00	58.19	Ideal Gas	6
750.00	60.90	Ideal Gas	6
773.15	61.88	Ideal Gas	2
800.00	62.97	Ideal Gas	3
800.00	63.18	Ideal Gas	5
800.00	63.50	Ideal Gas	6
850.00	65.99	Ideal Gas	6
900.00	67.66	Ideal Gas	3
900.00	68.37	Ideal Gas	6
950.00	70.64	Ideal Gas	6
1000.00	71.84	Ideal Gas	3
1000.00	72.01	Ideal Gas	5
1000.00	72.80	Ideal Gas	6
1050.00	74.85	Ideal Gas	6
1100.00	76.79	Ideal Gas	6
1150.00	78.62	Ideal Gas	6
1200.00	80.36	Ideal Gas	6
1300.00	83.56	Ideal Gas	6
1400.00	86.42	Ideal Gas	6
1500.00	86.65	Ideal Gas	5
1500.00	88.97	Ideal Gas	6
1600.00	91.26	Ideal Gas	6
1700.00	93.31	Ideal Gas	6
1800.00	95.17	Ideal Gas	6
1900.00	96.84	Ideal Gas	6
2000.00	98.37	Ideal Gas	6
2100.00	99.76	Ideal Gas	6
2200.00	101.04	Ideal Gas	6
2300.00	102.21	Ideal Gas	6
2400.00	103.30	Ideal Gas	6
2500.00	104.31	Ideal Gas	6
2600.00	105.26	Ideal Gas	6
2700.00	106.14	Ideal Gas	6
2800.00	106.98	Ideal Gas	6
2900.00	107.76	Ideal Gas	6
3000.00	108.51	Ideal Gas	6
3200.00	109.90	Ideal Gas	6
3400.00	111.18	Ideal Gas	6
3600.00	112.37	Ideal Gas	6
3800.00	113.49	Ideal Gas	6
4000.00	114.55	Ideal Gas	6
4200.00	115.57	Ideal Gas	6
4400.00	116.55	Ideal Gas	6
4600.00	117.50	Ideal Gas	6
4800.00	118.43	Ideal Gas	6
5000.00	119.34	Ideal Gas	6
Number	Source
1	Ewing M.B.; Goodwin A.R.H.: Speeds of Sound, Perfect-Gas Heat Capacities, and Acoustic Virial Coefficients for Methane Determined Using a Spherical Resonator at Temperatures between 255 K and 300 K and Pressures in the Range 171 kPa to 7.1 MPa. J.Chem.Thermodyn. 24 (1992) 1257-1274
2	Vold R.D.: The Heat Capacity of Methane and its Halogen Derivatives from Spectroscopic Data.. J.Am.Chem.Soc. 57 (1935) 1192-1195
3	Cerny C.; Erdös E.: Thermodynamic functions of methane, silane and their chloro derivatives. I. CH4, SiH4, CCl4, SiCl4.. Chem.Listy 47 (1953) 1742-1744
4	Budenholzer R.A.; Sage B.H.; Lacey W.N.: Phase Equilibria in Hydrocarbon Systems. Joule-Thomson Coefficient of Methane. Ind.Eng.Chem. Ind.Ed. 31 (1939) 369-374
5	Pitzer K.S.: Thermodynamics of Gaseous Paraffins. Specific Heat and Related Properties.. Ind.Eng.Chem. 36 (1944) 829-831
6	McDowell R.S.; Kruse F.H.: Thermodynamic functions of methane.. J.Chem.Eng.Data 8 (1963) 547-548
$$$Joule-Thomson Coefficient (isenthalpic dT/dP)
T [K]	P [kPa]	Joule-Thomson Coefficient (isenthalpic dT/dP) [K/MPa]	State	Reference
250.00	500.000	6.16100	Vapor	1
250.00	1000.000	6.13900	Vapor	1
250.00	2000.000	6.08900	Vapor	1
250.00	3000.000	6.01300	Vapor	1
250.00	5000.000	5.71000	Vapor	1
250.00	7500.000	5.04700	Vapor	1
250.00	10000.000	4.04800	Vapor	1
250.00	12500.000	2.97500	Vapor	1
250.00	15000.000	2.04300	Vapor	1
250.00	17500.000	1.47000	Vapor	1
250.00	20000.000	1.06200	Vapor	1
250.00	22500.000	0.76000	Vapor	1
250.00	25000.000	0.54500	Vapor	1
250.00	30000.000	0.24400	Vapor	1
275.00	500.000	5.16900	Vapor	1
275.00	1000.000	5.15500	Vapor	1
275.00	3000.000	5.01200	Vapor	1
275.00	5000.000	4.78100	Vapor	1
275.00	7500.000	4.31900	Vapor	1
275.00	10000.000	3.71300	Vapor	1
275.00	12500.000	3.05100	Vapor	1
275.00	15000.000	2.38900	Vapor	1
275.00	17500.000	1.82000	Vapor	1
275.00	20000.000	1.37800	Vapor	1
275.00	22500.000	1.02700	Vapor	1
275.00	25000.000	0.76900	Vapor	1
275.00	30000.000	0.40800	Vapor	1
300.00	500.000	4.38700	Vapor	1
300.00	1000.000	4.35400	Vapor	1
300.00	3000.000	4.19300	Vapor	1
300.00	5000.000	3.99400	Vapor	1
300.00	7500.000	3.66800	Vapor	1
300.00	10000.000	3.24400	Vapor	1
300.00	12500.000	2.77900	Vapor	1
300.00	15000.000	2.32700	Vapor	1
300.00	17500.000	1.91000	Vapor	1
300.00	20000.000	1.54400	Vapor	1
300.00	22500.000	1.22200	Vapor	1
300.00	25000.000	0.95100	Vapor	1
300.00	30000.000	0.56300	Vapor	1
Number	Source
1	Ernst G.; Keil B.; Wirbser H.; Jaeschke M.: Flow-Calorimetric Results for the Massic Heat Capacity cP and the Joule-Thomson Coefficient of CH4, of (0.85 CH4 + 0.15 C2H6), and of a Mixture Similar to Natural Gas. J.Chem.Thermodyn. 33 (2001) 601-613
$$$Kinematic Viscosity
T [K]	Kinematic Viscosity [m2/s]	State	Reference
91.01	4.40700006266E-07	Liquid	1
93.77	4.05799994496E-07	Liquid	1
97.34	3.64500010619E-07	Liquid	1
100.88	3.32700011541E-07	Liquid	1
103.84	3.16599994221E-07	Liquid	1
107.05	2.93999988799E-07	Liquid	1
109.86	2.80199998315E-07	Liquid	1
114.15	2.66200004262E-07	Liquid	1
Number	Source
1	Boon J.P.; Thomaes G.: The Viscosity of Liquefied Gases. Physica (Amsterdam) 29 (1963) 208-214
$$$Melting Point
T [K]	P [kPa]	State	Reference
87.15	101.325	Solid-Liquid	3
90.60		Solid-Liquid	5
90.60	101.325	Solid-Liquid	1
90.68	101.325	Solid-Liquid	2
90.72		Solid-Liquid	4
90.93		Solid-Liquid	4
Number	Source
1	Croll I.M.; Scott R.L.: III. Phase Equilibria and Volume Changes in the CH4-CF4 System. J.Phys.Chem. 62 (1958) 954-957
2	Colwell J.H.; Gill E.K.; Morrison J.A.: Thermodynamic Properties of CH4 and CD4. Interpretation of the Properties of the Solids. J.Chem.Phys. 39 (1963) 635-653
3	Latimer W.M.: The Distribution of Thermal Energy in the Tetrachlorides of Carbon, Silicon, Titanium and Tin. J.Am.Chem.Soc. 43 (1921) 90-97
4	Brewer J.; Kurata F.: Freezing Points of Binary Mixtures of Methane. AIChE J. 4 (1958) 317-318
5	Omar M.H.; Dokoupil Z.; Schroten H.G.M.: Determination of the Solid-Liquid Equilibrium Diagram for the Nitrogen-Methane System. Physica (Amsterdam) 28 (1962) 309-329
$$$Molar Heat Capacity (cP)
T [K]	Molar Heat Capacity (cP) [J/(mol*K)]	State	Reference
5.493	2.2594	Solid	2
5.651	2.4644	Solid	2
5.881	2.389	Solid	2
6.282	2.4853	Solid	2
7.014	3.3346	Solid	2
8.061	3.6945	Solid	2
9.409	4.498	Solid	2
9.741	4.774	Solid	2
10.80	5.293	Solid	2
11.818	6.397	Solid	2
11.904	6.259	Solid	2
12.065	6.514	Solid	2
12.816	7.393	Solid	2
13.55	8.393	Solid	2
14.046	9.054	Solid	2
15.137	10.736	Solid	2
15.48	11.606	Solid	1
15.918	12.155	Solid	2
16.55	13.807	Solid	1
16.61	14.067	Solid	1
16.74	14.062	Solid	2
17.74	17.602	Solid	1
17.78	17.74	Solid	1
17.822	17.284	Solid	2
18.274	18.523	Solid	2
18.56	21.564	Solid	1
18.73	22.016	Solid	1
19.17	25.74	Solid	1
19.315	25.543	Solid	2
19.32	25.953	Solid	2
19.47	30.644	Solid	1
19.78	44.56	Solid	1
19.83	32.92	Solid	2
19.94	45.65	Solid	1
20.003	37.21	Solid	2
20.587	40.786	Solid	2
20.697	26.38	Solid	2
20.71	20.25	Solid	2
21.05	19.355	Solid	2
21.06	18.845	Solid	1
21.35	18.096	Solid	1
22.25	19.874	Solid	2
22.48	19.418	Solid	1
23.13	20.008	Solid	1
23.536	20.497	Solid	2
24.22	20.874	Solid	2
24.65	20.55	Solid	1
25.52	21.727	Solid	1
25.804	21.75	Solid	2
28.20	23.175	Solid	2
30.79	24.644	Solid	2
33.47	26.096	Solid	2
36.27	27.485	Solid	2
39.25	28.84	Solid	2
50.57	32.63	Solid	2
52.64	33.44	Solid	2
54.77	34.15	Solid	2
56.81	34.757	Solid	2
58.78	35.305	Solid	2
60.69	35.82	Solid	2
85.10	42.34	Solid	2
88.44	43.555	Solid	2
90.37	55.69	Solid	2
93.39	52.93	Liquid	2
Number	Source
1	Frank A.; Clusius K.: Zur Entropie des Methans. Z.Phys.Chem.Abt.B 36 (1937) 291-300
2	Colwell J.H.; Gill E.K.; Morrison J.A.: Thermodynamic Properties of CH4 and CD4. Interpretation of the Properties of the Solids. J.Chem.Phys. 39 (1963) 635-653
$$$Molar Heat Capacity (cV)
T [K]	Molar Heat Capacity (Cv) [J/(mol*K)]	State	Reference
101.24	54.17	Vapor-Liquid	1
101.56	54.58	Vapor-Liquid	1
107.30	55.80	Vapor-Liquid	1
108.19	55.95	Vapor-Liquid	1
127.16	59.09	Vapor-Liquid	1
127.58	59.16	Vapor-Liquid	1
144.28	62.62	Vapor-Liquid	1
144.77	62.94	Vapor-Liquid	1
165.29	68.27	Vapor-Liquid	1
165.68	68.86	Vapor-Liquid	1
166.14	69.47	Vapor-Liquid	1
177.92	74.23	Vapor-Liquid	1
178.13	74.25	Vapor-Liquid	1
178.47	74.59	Vapor-Liquid	1
178.81	74.91	Vapor-Liquid	1
179.01	74.91	Vapor-Liquid	1
179.54	33.94	Vapor	1
179.75	32.51	Vapor	1
179.96	32.256	Vapor	1
181.12	77.54	Vapor-Liquid	1
181.40	78.18	Vapor-Liquid	1
181.67	78.64	Vapor-Liquid	1
181.82	78.44	Vapor-Liquid	1
182.09	78.50	Vapor-Liquid	1
182.44	79.19	Vapor-Liquid	1
182.60	80.02	Vapor-Liquid	1
182.65	80.02	Vapor-Liquid	1
182.81	35.705	Vapor	1
182.97	33.57	Vapor	1
183.21	32.914	Vapor	1
183.89	32.32	Vapor	1
184.22	83.22	Vapor-Liquid	1
184.34	83.54	Vapor-Liquid	1
184.36	32.385	Vapor	1
184.49	83.70	Vapor-Liquid	1
184.57	83.84	Vapor-Liquid	1
184.81	36.60	Vapor	1
184.84	32.32	Vapor	1
184.84	36.73	Vapor	1
184.93	35.35	Vapor	1
185.05	34.87	Vapor	1
185.14	34.97	Vapor	1
188.07	30.59	Vapor	1
188.71	30.51	Vapor	1
194.45	30.86	Vapor	1
194.96	30.70	Vapor	1
195.47	30.78	Vapor	1
199.59	30.123	Vapor	1
199.73	29.98	Vapor	1
200.15	30.09	Vapor	1
210.57	30.123	Vapor	1
210.97	30.01	Vapor	1
211.37	29.786	Vapor	1
211.47	29.866	Vapor	1
211.89	29.866	Vapor	1
223.96	29.305	Vapor	1
224.44	29.29	Vapor	1
Number	Source
1	Anisimov M.A.; Beketov V.G.; Voronov V.P.; Nagaev V.B.; Smirnov V.A.: Experimentelle Untersuchung der T-rho-Abhängigkeit an der Koexistenzkurve und Wärmeleitfähigkeit von Methan. Teplofiz.Svoistva Vesh.Mater.  (1982) 124-135
$$$Speed of Sound
T [K]	P [kPa]	Ultrasonic Velocity [m/s]	State	Reference
298.15	60000.000	1000.000	Vapor	1
298.15	70000.000	1075.000	Vapor	1
298.15	80000.000	1145.000	Vapor	1
298.15	100000.000	1275.000	Vapor	1
298.15	120000.000	1385.000	Vapor	1
298.15	140000.000	1480.000	Vapor	1
298.15	160000.000	1570.000	Vapor	1
298.15	180000.000	1660.000	Vapor	1
298.15	200000.000	1735.000	Vapor	1
298.15	220000.000	1810.000	Vapor	1
298.15	240000.000	1880.000	Vapor	1
298.15	260000.000	1940.000	Vapor	1
298.15	280000.000	2000.000	Vapor	1
298.15	300000.000	2050.000	Vapor	1
298.15	320000.000	2100.000	Vapor	1
298.15	340000.000	2150.000	Vapor	1
298.15	360000.000	2205.000	Vapor	1
298.15	380000.000	2255.000	Vapor	1
298.15	400000.000	2300.000	Vapor	1
298.15	420000.000	2350.000	Vapor	1
298.15	440000.000	2405.000	Vapor	1
298.15	450000.000	2425.000	Vapor	1
323.15	60000.000	950.000	Vapor	1
323.15	70000.000	1035.000	Vapor	1
323.15	80000.000	1100.000	Vapor	1
323.15	100000.000	1225.000	Vapor	1
323.15	120000.000	1340.000	Vapor	1
323.15	140000.000	1435.000	Vapor	1
323.15	160000.000	1525.000	Vapor	1
323.15	180000.000	1615.000	Vapor	1
323.15	200000.000	1690.000	Vapor	1
323.15	220000.000	1760.000	Vapor	1
323.15	240000.000	1830.000	Vapor	1
323.15	260000.000	1890.000	Vapor	1
323.15	280000.000	1945.000	Vapor	1
323.15	300000.000	2000.000	Vapor	1
323.15	320000.000	2055.000	Vapor	1
323.15	340000.000	2110.000	Vapor	1
323.15	360000.000	2170.000	Vapor	1
323.15	380000.000	2225.000	Vapor	1
323.15	400000.000	2270.000	Vapor	1
323.15	420000.000	2315.000	Vapor	1
323.15	440000.000	2355.000	Vapor	1
323.15	450000.000	2375.000	Vapor	1
348.15	60000.000	900.000	Vapor	1
348.15	70000.000	975.000	Vapor	1
348.15	80000.000	1050.000	Vapor	1
348.15	100000.000	1175.000	Vapor	1
348.15	120000.000	1290.000	Vapor	1
348.15	140000.000	1395.000	Vapor	1
348.15	160000.000	1480.000	Vapor	1
348.15	180000.000	1570.000	Vapor	1
348.15	200000.000	1650.000	Vapor	1
348.15	220000.000	1720.000	Vapor	1
348.15	240000.000	1790.000	Vapor	1
348.15	260000.000	1850.000	Vapor	1
348.15	280000.000	1915.000	Vapor	1
348.15	300000.000	1970.000	Vapor	1
348.15	320000.000	2025.000	Vapor	1
348.15	340000.000	2080.000	Vapor	1
348.15	360000.000	2130.000	Vapor	1
348.15	380000.000	2185.000	Vapor	1
348.15	400000.000	2230.000	Vapor	1
348.15	420000.000	2275.000	Vapor	1
348.15	440000.000	2315.000	Vapor	1
348.15	450000.000	2335.000	Vapor	1
373.15	60000.000	875.000	Vapor	1
373.15	70000.000	950.000	Vapor	1
373.15	80000.000	1015.000	Vapor	1
373.15	100000.000	1145.000	Vapor	1
373.15	120000.000	1260.000	Vapor	1
373.15	140000.000	1355.000	Vapor	1
373.15	160000.000	1445.000	Vapor	1
373.15	180000.000	1530.000	Vapor	1
373.15	200000.000	1610.000	Vapor	1
373.15	220000.000	1680.000	Vapor	1
373.15	240000.000	1750.000	Vapor	1
373.15	260000.000	1815.000	Vapor	1
373.15	280000.000	1875.000	Vapor	1
373.15	300000.000	1935.000	Vapor	1
373.15	320000.000	1990.000	Vapor	1
373.15	340000.000	2045.000	Vapor	1
373.15	360000.000	2095.000	Vapor	1
373.15	380000.000	2150.000	Vapor	1
373.15	400000.000	2195.000	Vapor	1
373.15	420000.000	2235.000	Vapor	1
373.15	440000.000	2280.000	Vapor	1
373.15	450000.000	2295.000	Vapor	1
398.15	60000.000	860.000	Vapor	1
398.15	70000.000	930.000	Vapor	1
398.15	80000.000	990.000	Vapor	1
398.15	100000.000	1115.000	Vapor	1
398.15	120000.000	1220.000	Vapor	1
398.15	140000.000	1320.000	Vapor	1
398.15	160000.000	1410.000	Vapor	1
398.15	180000.000	1500.000	Vapor	1
398.15	200000.000	1575.000	Vapor	1
398.15	220000.000	1645.000	Vapor	1
398.15	240000.000	1715.000	Vapor	1
398.15	260000.000	1780.000	Vapor	1
398.15	280000.000	1840.000	Vapor	1
398.15	300000.000	1900.000	Vapor	1
398.15	320000.000	1955.000	Vapor	1
398.15	340000.000	2005.000	Vapor	1
398.15	360000.000	2055.000	Vapor	1
398.15	380000.000	2105.000	Vapor	1
398.15	400000.000	2155.000	Vapor	1
398.15	420000.000	2200.000	Vapor	1
398.15	440000.000	2250.000	Vapor	1
398.15	450000.000	2270.000	Vapor	1
423.15	60000.000	840.000	Vapor	1
423.15	70000.000	910.000	Vapor	1
423.15	80000.000	970.000	Vapor	1
423.15	100000.000	1085.000	Vapor	1
423.15	120000.000	1195.000	Vapor	1
423.15	140000.000	1290.000	Vapor	1
423.15	160000.000	1370.000	Vapor	1
423.15	180000.000	1465.000	Vapor	1
423.15	200000.000	1545.000	Vapor	1
423.15	220000.000	1615.000	Vapor	1
423.15	240000.000	1685.000	Vapor	1
423.15	260000.000	1750.000	Vapor	1
423.15	280000.000	1810.000	Vapor	1
423.15	300000.000	1870.000	Vapor	1
423.15	320000.000	1920.000	Vapor	1
423.15	340000.000	1975.000	Vapor	1
423.15	360000.000	2025.000	Vapor	1
423.15	380000.000	2075.000	Vapor	1
423.15	400000.000	2125.000	Vapor	1
423.15	420000.000	2170.000	Vapor	1
423.15	440000.000	2215.000	Vapor	1
423.15	450000.000	2235.000	Vapor	1
Number	Source
1	Pitaevskaya L.L.; Bilevich A.V.: The Rate of Propagationof Ultrasound in Methane at Pressures up to 4500 bars in the Temperature Range  25 - 200° C. Zh.Fiz.Khim. 46 (1972) 2423-2424
$$$Std. Heat of Combustion
T [K]	Molar Enthalpy [J/mol]	State	Reference
298.00	-890313.00	Vapor	1
Number	Source
1	Domalski E.S.: Selected Values of Heats of Combustion and Heats of Formation of Organic Compounds Containing the Elements C, H, N, O, P, and S. J.Phys.Chem.Ref.Data 1 (1972) 221-277
$$$Std. Heat of Formation
T [K]	P [kPa]	Molar Enthalpy [J/mol]	State	Reference
	101.325	-74500.00	Vapor	4
298.00		-74851.80	Vapor	5
298.00		-74848.00	Vapor	2
298.00		-74475.00	Vapor	1
Number	Source
1	Pittam D.A.; Pilcher G.: Part 8. Methane, Ethane, Propane, n-Butane and 2-Methylpropane. J.Chem.Soc.Faraday Trans.1 68 (1972) 2224-2229
2	Prosen E.J.; Pitzer K.S.; Rossini F.D.: Heats and free energies of formation of the paraffin hydrocarbons, in the gaseous state, to 1500 K.. J.Res. NBS 34 (1945) 403-411
3	Prosen E.J.; Rossini F.D.: Heats of combustion and formation of the paraffin hydrocarbons at 25oC.. J.Res. NBS 34 (1945) 263-269
4	Bickerton J.; Minas Da Piedade M.E.; Pilcher G.: Enthalpy of formation of tetrabromomethane by rotating-bomb calorimetry.. J.Chem.Thermodyn. 16 (1984) 661-668
5	Domalski E.S.: Selected Values of Heats of Combustion and Heats of Formation of Organic Compounds Containing the Elements C, H, N, O, P, and S. J.Phys.Chem.Ref.Data 1 (1972) 221-277
$$$Surface Tension
T [K]	P [kPa]	Surface Tension [mN/m]	State	Reference
90.67	101.325	17.7800	Liquid	5
90.95		16.8940	Liquid	4
91.26	101.325	17.6000	Liquid	5
91.50		17.7500	Liquid	2
91.65		16.8760	Liquid	4
92.51	101.325	17.3600	Liquid	5
92.82		16.6150	Liquid	4
92.98		16.6080	Liquid	4
93.60		17.2500	Liquid	2
93.62	101.325	17.1300	Liquid	5
94.09		16.3700	Liquid	4
95.29		16.1410	Liquid	4
96.15		16.6500	Liquid	2
96.29		16.2800	Liquid	6
96.35		15.9350	Liquid	4
96.84		15.9800	Liquid	1
97.52		15.7100	Liquid	4
97.69		15.6580	Liquid	4
98.71		15.4510	Liquid	4
99.50		15.8500	Liquid	2
99.89		15.2580	Liquid	4
99.92		15.2200	Liquid	4
101.11		14.9590	Liquid	4
102.30		14.7390	Liquid	4
103.05		14.9500	Liquid	2
103.35		14.5070	Liquid	4
103.87		14.4900	Liquid	6
104.50		14.3600	Liquid	1
104.55		14.2930	Liquid	4
104.83		14.2000	Liquid	6
105.00		14.6800	Liquid	2
105.72		14.0530	Liquid	4
106.25		13.9000	Liquid	6
106.41		14.0600	Liquid	6
106.72		14.0800	Liquid	6
106.73		13.8700	Liquid	6
106.85		13.8620	Liquid	4
106.96		13.8090	Liquid	4
107.74		13.8900	Liquid	6
107.89		13.8100	Liquid	6
107.97		13.6140	Liquid	4
109.00		13.6000	Liquid	2
109.20		13.3530	Liquid	4
109.20		13.3600	Liquid	6
109.39		13.4900	Liquid	1
109.86		13.1500	Liquid	6
110.45		13.1180	Liquid	4
110.50		13.2500	Liquid	2
111.66		12.9090	Liquid	4
112.16		12.8800	Liquid	1
112.83		12.7010	Liquid	4
114.05		12.4500	Liquid	4
114.34		12.4700	Liquid	1
114.65		12.4290	Liquid	4
116.65		12.0300	Liquid	1
118.38		11.6500	Liquid	1
120.26		11.2600	Liquid	1
121.62		11.0600	Liquid	1
123.61		10.6700	Liquid	1
124.81		10.3900	Liquid	1
125.18	271.000	10.5800	Liquid Phase of VLE	3
127.68		9.8300	Liquid	1
129.80	358.000	9.6800	Liquid Phase of VLE	3
130.88		9.2400	Liquid	1
131.97		9.0000	Liquid	1
136.75		8.1400	Liquid	1
139.10	609.000	7.8100	Liquid Phase of VLE	3
140.93		7.3800	Liquid	1
142.62		7.0700	Liquid	1
144.00		6.8000	Liquid	1
146.60		6.3300	Liquid	1
147.94		6.1200	Liquid	1
150.99	1078.000	5.7100	Liquid Phase of VLE	3
154.69		4.9500	Liquid	1
160.00		4.0500	Liquid	1
160.34	1611.000	4.0700	Liquid Phase of VLE	3
162.71		3.6100	Liquid	1
169.46		2.5600	Liquid	1
169.79	2305.000	2.5300	Liquid Phase of VLE	3
173.13		2.0140	Liquid	1
176.10		1.6050	Liquid	1
176.41		1.5530	Liquid	1
178.48		1.2890	Liquid	1
179.30	3207.000	1.2100	Liquid Phase of VLE	3
180.38		1.0480	Liquid	1
181.86		0.8650	Liquid	1
183.68		0.6420	Liquid	1
188.84	4346.000	0.1020	Liquid Phase of VLE	3
Number	Source
1	Baidakov V.G.; Khvostov K.V.; Muratov G.N.: Surface Tension of Nitrogen, Oxygen, and Methane over a Wilde Range of Temperature. Zh.Fiz.Khim. 56 (1982) 814-817
2	Blagoi Y.P.: Surface Tension of Solutions of Liquified Gases N2-Ar, Ar-Ch4, N2-Ch4. Ukr.Fiz.Zh.(Ukr.Ed.) 5 (1960) 109-114
3	Holcomb C.D.; Zollweg J.A.: Comparison of Interfacial Tension and Capillary Constant for Argon + Krypton, CH4 + Krypton, and C2H6 + Krypton Using Two Independent Measurement. Fluid Phase Equilib. 75 (1992) 213-224
4	Fuks S.; Bellemans A.: The Surface Tension of Krypton, Methane and their Mixtures. Physica (Amsterdam) 32 (1966) 594-602
5	Sprow F.B.; Prausnitz J.M.: Surface tension of simple liquids.. Trans.Faraday Soc. 62 (1966) 1097-1104
6	Soares V.A.M.; De Almeida B.J.V.S.; McLure I.A.; Higgins R.A.: Surface Tension of Pure and Mixed Simple Substances at Low Temperatures. Fluid Phase Equilib. 32 (1986) 9-16
$$$Thermal Conductivity
T [K]	P [kPa]	Thermal Conductivity [W/(m*K)]	State	Reference
196.15	101.325	0.0211	Vapor	1
196.15	1013.250	0.022316	Vapor	1
196.15	2026.500	0.0242	Vapor	1
196.15	3039.750	0.026796	Vapor	1
196.15	4053.000	0.032406	Vapor	1
196.15	5066.250	0.04375	Vapor	1
196.15	10132.500	0.0849	Vapor	1
196.15	12665.601	0.0901	Vapor	1
196.15	15198.800	0.09483	Vapor	1
196.15	20265.000	0.10308	Vapor	1
196.15	25331.201	0.11066	Vapor	1
196.15	30397.500	0.11752	Vapor	1
196.15	40530.000	0.1302	Vapor	1
273.95	101.325	0.03044	Vapor	1
273.95	1013.250	0.031234	Vapor	1
273.95	2026.500	0.032155	Vapor	1
273.95	3039.750	0.033285	Vapor	1
273.95	4053.000	0.034416	Vapor	1
273.95	5066.250	0.03567	Vapor	1
273.95	6079.500	0.037095	Vapor	1
273.95	7092.750	0.038644	Vapor	1
273.95	8106.000	0.0404	Vapor	1
273.95	9119.250	0.04229	Vapor	1
273.95	10132.500	0.04438	Vapor	1
273.95	12665.601	0.04982	Vapor	1
273.95	15198.800	0.05568	Vapor	1
273.95	20265.000	0.06573	Vapor	1
273.95	25331.201	0.07402	Vapor	1
273.95	30397.500	0.08039	Vapor	1
273.95	40530.000	0.09152	Vapor	1
273.95	50662.500	0.10149	Vapor	1
273.95	60795.000	0.11011	Vapor	1
298.65	101.325	0.03391	Vapor	1
298.65	1013.250	0.03458	Vapor	1
298.65	2026.500	0.035546	Vapor	1
298.65	3039.750	0.03647	Vapor	1
298.65	4053.000	0.037556	Vapor	1
