Formula	Molar Mass	CAS Registry Number	Name
C8H10	106.167	108-38-3	m-Xylene
$$$Compressibility (isentropic)
T [K]	P [kPa]	Compressibility (isentropic) [/kPa]	State	Reference
638.10	2500.000	272.31	Vapor	1
643.37	2000.000	261.83	Vapor	1
644.57	1000.000	250.51	Vapor	1
644.90	3000.000	283.51	Vapor	1
645.10	3000.000	283.27	Vapor	1
646.50	1500.000	255.67	Vapor	1
647.77	500.000	247.57	Vapor	1
648.26	2500.000	270.36	Vapor	1
648.54	2500.000	270.29	Vapor	1
655.66	3000.000	279.64	Vapor	1
656.17	2000.000	262.47	Vapor	1
657.57	2500.000	269.58	Vapor	1
657.95	1500.000	257.34	Vapor	1
657.98	2500.000	269.23	Vapor	1
658.54	1000.000	253.34	Vapor	1
664.33	500.000	251.30	Vapor	1
666.95	3000.000	277.54	Vapor	1
667.33	2500.000	270.08	Vapor	1
667.37	3000.000	277.06	Vapor	1
667.41	2500.000	269.33	Vapor	1
667.73	1000.000	255.23	Vapor	1
668.64	2500.000	269.70	Vapor	1
669.28	2000.000	263.72	Vapor	1
670.46	1500.000	259.37	Vapor	1
678.73	3000.000	276.49	Vapor	1
678.86	2500.000	269.90	Vapor	1
680.06	2000.000	264.98	Vapor	1
680.50	1500.000	261.24	Vapor	1
681.11	500.000	255.23	Vapor	1
681.66	1000.000	258.01	Vapor	1
688.78	2500.000	270.54	Vapor	1
692.46	3000.000	275.99	Vapor	1
692.60	2500.000	270.84	Vapor	1
692.73	2000.000	266.71	Vapor	1
692.95	2500.000	271.08	Vapor	1
693.17	1000.000	260.53	Vapor	1
693.36	1500.000	263.30	Vapor	1
693.44	3000.000	275.81	Vapor	1
693.50	500.000	258.97	Vapor	1
Number	Source
1	Akhundov T.S.; Sultanov Ch.I.: Experimentelle Untersuchung  der Isobar-Dampfwärmekapazität von o-, m-, p-Xylol bei unterkritischen Drücken und Temperaturen bis 420°C. Izv.Vyssh.Uchebn.Zaved.Neft Gaz  (1975) 50-80
$$$Molar Saturation Heat Capacity
T [K]	Molar Saturation Heat Capacity (CS) [J/(mol*K)]	State	Reference
288.15	178.360	Liquid	1
293.15	180.170	Liquid	1
298.15	182.010	Liquid	1
303.15	183.630	Liquid	1
308.15	185.490	Liquid	1
313.15	187.160	Liquid	1
318.15	188.940	Liquid	1
323.15	190.810	Liquid	1
328.15	192.720	Liquid	1
332.20	193.600	Liquid	2
333.15	194.510	Liquid	1
338.15	196.390	Liquid	1
342.10	197.600	Liquid	2
343.15	198.320	Liquid	1
348.15	200.250	Liquid	1
354.90	201.700	Liquid	2
361.80	205.700	Liquid	2
371.60	209.400	Liquid	2
381.50	213.600	Liquid	2
391.40	217.400	Liquid	2
401.30	221.100	Liquid	2
Number	Source
1	Paramo R.; Zouine M.; Sobron F.; Casanova C.: Saturated heat capacities of some linear and branched alkyl-benzenes between 288 and 348 K. Int.J.Thermophys. 24 (2003) 185-199
2	Paramo R.; Zouine M.; Sobron F.; Casanova C.: Saturated Heat Capacities of Some Linear and Branched Alkylbenzenes between (332 and 401) K. J.Chem.Eng.Data 51 (2006) 123-126
$$$Speed of Sound
T [K]	P [kPa]	Ultrasonic Velocity [m/s]	State	Reference
293.15		1335.000	Liquid	3
293.15		1340.000	Liquid	2
298.15		1324.000	Liquid	1
301.15		1308.000	Liquid	4
303.15		1303.000	Liquid	5
303.15		1312.000	Liquid	3
313.00	100.000	1259.000	Liquid	6
313.00	9800.000	1312.000	Liquid	6
313.00	49000.000	1487.000	Liquid	6
313.00	98000.000	1656.000	Liquid	6
313.00	147000.000	1795.000	Liquid	6
313.00	196000.000	1912.000	Liquid	6
313.00	245000.000	2016.000	Liquid	6
313.15		1280.000	Liquid	3
Number	Source
1	Willard G W.: Temperature Coefficients of Ultrasonic Velocity in Solutions. J.Acoust.Soc.Am. 19 (1947) 235-241
2	Schaaffs W.: I.Teil: Die Schallgeschwindigkeit in organischen Flüssigkeiten. Z.Phys.Chem.(Leipzig) 194 (1944) 28-38
3	Zeliznyi A.M.; Dyakiv F.V.; Shevchenko E.F.: Xylene-Dimethylformamide Binary Systems. Zh.Obshch.Khim. 46 (1976) 1913-1919
4	Reddy K.C.; Subrahmanyam S.V.; Bhimasenachar J.: Ultrasonic Behaviour of Binary Liquid Mixtures Containing Triethylamine. Part I. Trans.Faraday Soc. 58 (1962) 2352-2357
5	Prabhavathi C.L.; Sivakumar K.; Venkateswarlu P.; Raman G.K.: Speed of Sound and Isentropic Compressibilities of N-Methylcyclohexylamine with Benzene and Substitutes Benzenes at 303.15 K. Phys.Chem.Liq. 38 (2000) 705-712
6	Golik A.Z.; Adamenko I.I.; Makhno M.G.; Kislyak G.M.: The State Equation and Elastical Properties of Xylenes. Fiz.Zhidk.Sostoyaniya  (1982) 8-11
$$$Std. Heat of Combustion
T [K]	Molar Enthalpy [J/mol]	State	Reference
290.65	-4543320.00	Liquid	3
293.75	-4555760.00	Liquid	4
298.00	-4551860.00	Liquid	2
298.00	-4547760.00	Liquid	1
Number	Source
1	Coops J.; Mulder D.; Dienske J.W.; Smittenberg J.: The heats of combustion of a number of hydrocarbons.. Recl.Trav.Chim.Pays-Bas 65 (1946) 128-128
2	Prosen E.J.; Gilmont R.; Rossini F.D.: Heats of combustion of benzene, toluene, ethylbenzene, o-xylene, m-xylene, p-xylene, n-propylbenzene, and styrene.. J.Res. NBS 34 (1945) 65-71
3	Stohmann F.; Rodatz P.; Herzberg W.: Ueber den Wärmewerth der Homologen des Benzols. J.Prakt.Chem. 35 (1887) 40-42
4	Roth W.A.; von Auwers K.: Über die Verbrennungswärmen aromatischer Kohlenwasserstoffe und deren Hydrierungsprodukte. Justus Liebigs Ann.Chem. 407 (1915) 145-175
$$$Std. Heat of Formation
T [K]	Molar Enthalpy [J/mol]	State	Reference
250.00	21617.70	Ideal Gas	2
260.00	20731.40	Ideal Gas	2
280.00	18950.40	Ideal Gas	2
298.00	17238.00	Vapor	1
298.15	17352.80	Ideal Gas	2
300.00	17186.10	Ideal Gas	2
320.00	15484.90	Ideal Gas	2
340.00	13823.70	Ideal Gas	2
360.00	12212.40	Ideal Gas	2
380.00	10679.20	Ideal Gas	2
400.00	9179.22	Ideal Gas	2
420.00	7717.53	Ideal Gas	2
440.00	6329.01	Ideal Gas	2
460.00	4972.08	Ideal Gas	2
480.00	3631.78	Ideal Gas	2
500.00	2369.64	Ideal Gas	2
520.00	1167.36	Ideal Gas	2
540.00	-44.90	Ideal Gas	2
550.00	-640.22	Ideal Gas	2
Number	Source
1	Prosen E.J.; Johnson W.H.; Rossini F.D.: Heats of combustion and formation at 25 oC of the alkylbenzenes through C10H14, and of the higher normal monoalkylbenzenes.. J.Res. NBS 36 (1946) 455-461
2	Chirico R.D.; Knipmeyer S.E.; Nguyen A.; Reynolds J.W.; Steele W.V.: Thermodynamic equilibria in xylene isomerization. 2. The thermodynamic properties of m-xylene. J.Chem.Eng.Data 42 (1997) 475-487
$$$Surface Tension
T [K]	P [kPa]	Surface Tension [mN/m]	State	Reference
273.15	1.730	31.2300	Liquid	1
288.15		29.1500	Liquid	4
288.15		29.2200	Liquid	2
293.15		28.3500	Liquid	3
293.15		28.4700	Liquid	3
293.15		28.6300	Liquid	4
293.15	101.325	28.6300	Liquid	5
303.15		27.5600	Liquid	4
303.15	101.325	27.5400	Liquid	5
307.62	13.730	27.4000	Liquid	1
313.15	101.325	26.4400	Liquid	5
333.95	29.460	24.5500	Liquid	1
Number	Source
1	Richards T.W.; Speyers C.L.; Carver E.K.: The determination of surface tension with very small volumes of liquid, and the surface tensions of octanes and xylenes at several temperatures.. J.Am.Chem.Soc. 46 (1924) 1196-1207
2	Mahl B.S.; Chopra S.L.; Singh P.P.: Surface Tension of Binary Mixtures. Z.Phys.Chem.(Leipzig) 249 (1972) 337-343
3	Burri J.; Hartland S.: A method for measuring surface and interfacial tensions using Wilhelmy plate. (Ger). Colloid Polym.Sci. 255 (1977) 675-681
4	Hennaut-Roland L.; Lek M.: Methods and equipment used at the Bureau of Physico-Chem. Standards.IV. Surface tension of a series of org. substances.. Bull.Soc.Chim.Belg. 40 (1931) 177-188
5	Donaldson R.E.; Quayle O.R.: A study of organic parachors. X. Parachors of American Petroleum Institute - National Bureau of Standards hydrocarbons: benzene and homologs of benzene. J.Am.Chem.Soc. 72 (1950) 35-36
$$$Thermal Conductivity
T [K]	P [kPa]	Thermal Conductivity [W/(m*K)]	State	Reference
293.15	98.000	0.1315	Liquid	1
293.15	21700.000	0.1385	Liquid	1
293.15	41900.000	0.1446	Liquid	1
293.15	60000.000	0.1500	Liquid	1
293.15	80300.000	0.1546	Liquid	1
293.15	100100.000	0.1585	Liquid	1
313.15	98.000	0.1268	Liquid	1
313.15	21700.000	0.1342	Liquid	1
313.15	41900.000	0.1405	Liquid	1
313.15	60000.000	0.1461	Liquid	1
313.15	80300.000	0.1510	Liquid	1
313.15	100100.000	0.1553	Liquid	1
333.15	98.000	0.1220	Liquid	1
333.15	21700.000	0.1299	Liquid	1
333.15	41900.000	0.1365	Liquid	1
333.15	60000.000	0.1423	Liquid	1
333.15	80300.000	0.1473	Liquid	1
333.15	100100.000	0.1520	Liquid	1
353.15	98.000	0.1173	Liquid	1
353.15	21700.000	0.1255	Liquid	1
353.15	41900.000	0.1325	Liquid	1
353.15	60000.000	0.1385	Liquid	1
353.15	80300.000	0.1436	Liquid	1
353.15	100100.000	0.1488	Liquid	1
373.15	98.000	0.1125	Liquid	1
373.15	21700.000	0.1210	Liquid	1
373.15	41900.000	0.1285	Liquid	1
373.15	60000.000	0.1346	Liquid	1
373.15	80300.000	0.1400	Liquid	1
373.15	100100.000	0.1456	Liquid	1
393.15	98.000	0.1080	Liquid	1
393.15	21700.000	0.1165	Liquid	1
393.15	41900.000	0.1242	Liquid	1
393.15	60000.000	0.1308	Liquid	1
393.15	80300.000	0.1363	Liquid	1
393.15	100100.000	0.1421	Liquid	1
413.15	98.000	0.1032	Liquid	1
413.15	21700.000	0.1124	Liquid	1
413.15	41900.000	0.1202	Liquid	1
413.15	60000.000	0.1270	Liquid	1
413.15	80300.000	0.1330	Liquid	1
413.15	100100.000	0.1390	Liquid	1
433.15	21700.000	0.1086	Liquid	1
433.15	41900.000	0.1165	Liquid	1
433.15	60000.000	0.1237	Liquid	1
433.15	80300.000	0.1300	Liquid	1
433.15	100100.000	0.1363	Liquid	1
453.15	21700.000	0.1052	Liquid	1
453.15	41900.000	0.1134	Liquid	1
453.15	60000.000	0.1209	Liquid	1
453.15	80300.000	0.1275	Liquid	1
453.15	100100.000	0.1340	Liquid	1
Number	Source
1	Rastorguev Yu.L.; Pugach V.V.: Untersuchung der Wärmeleitfähigkeit von aromatischen  Kohlenwasserstoffen bei hohem Druck. Izv.Vyssh.Uchebn.Zaved.Neft Gaz 13 (1970) 69-72
$$$Vapor Pressure
T [K]	P [kPa]	State	Reference
237.55	0.010132	Vapor-Liquid	3
248.95	0.0276	Vapor-Liquid	3
263.75	0.10306	Vapor-Liquid	3
273.15	0.21465	Vapor-Liquid	3
273.15	0.228	Vapor-Liquid	5
283.15	0.2933	Vapor-Liquid	4
283.15	0.4466	Vapor-Liquid	5
293.15	0.8333	Vapor-Liquid	5
303.15	1.2132	Vapor-Liquid	4
303.15	1.480	Vapor-Liquid	5
313.15	2.533	Vapor-Liquid	5
323.15	3.906	Vapor-Liquid	4
323.15	4.173	Vapor-Liquid	5
333.15	6.626	Vapor-Liquid	5
343.15	10.212	Vapor-Liquid	5
353.15	15.279	Vapor-Liquid	5
420.00	124.200	Vapor-Liquid	2
440.00	202.100	Vapor-Liquid	2
448.15	244.000	Vapor-Liquid	1
453.15	270.000	Vapor-Liquid	1
460.00	313.700	Vapor-Liquid	2
463.15	333.000	Vapor-Liquid	1
473.15	409.000	Vapor-Liquid	1
480.00	467.000	Vapor-Liquid	2
483.15	496.000	Vapor-Liquid	1
493.15	594.000	Vapor-Liquid	1
498.15	651.000	Vapor-Liquid	1
500.00	671.500	Vapor-Liquid	2
503.15	708.000	Vapor-Liquid	1
513.15	838.000	Vapor-Liquid	1
520.00	937.400	Vapor-Liquid	2
523.15	985.000	Vapor-Liquid	1
533.15	1153.000	Vapor-Liquid	1
540.00	1276.300	Vapor-Liquid	2
543.15	1340.000	Vapor-Liquid	1
548.15	1441.000	Vapor-Liquid	1
553.15	1547.000	Vapor-Liquid	1
560.00	1700.900	Vapor-Liquid	2
563.15	1778.000	Vapor-Liquid	1
573.15	2033.000	Vapor-Liquid	1
580.00	2226.600	Vapor-Liquid	2
583.15	2314.000	Vapor-Liquid	1
593.15	2630.000	Vapor-Liquid	1
598.15	2805.000	Vapor-Liquid	1
600.00	2872.100	Vapor-Liquid	2
603.15	2985.000	Vapor-Liquid	1
613.15	3383.000	Vapor-Liquid	1
615.15	3470.000	Vapor-Liquid	1
616.75	3541.000	Vapor-Liquid	1
617.15	3560.000	Vapor-Liquid	1
618.15	3606.000	Vapor-Liquid	1
619.15	3653.000	Vapor-Liquid	1
Number	Source
1	Mamedov A.M.; Akhundov T.S.; Asadullaeva N.N.: Experimentelle Untersuchung der Dichte und Sättigungsdrukes von m-Xylol. Teploenergetika  (1967) 81-82
2	Ambrose D.; Broderick B.E.; Townsend R.: The vapour pressures above the normal boiling point and the critical pressures of some aromatic hydrocarbons. J.Chem.Soc.A  (1967) 633-641
3	Choi S.U.; Brown H.C.: Solid Complexes of Aluminium Bromide with aromatic Hydrocarbons. J.Am.Chem.Soc. 88 (1966) 903-909
4	Rintelen J.C.Jr.; Saylor J.H.; Gross P.M.: The Desities and Vapor Pressures of some Alkylbenzenes, Aliphatic Ketones and n-Amyl Chloride.. J.Am.Chem.Soc. 59 (1937) 1129-1130
5	Kassel L.S.: Vapor pressures of the Xylenes and Mesitylene. J.Am.Chem.Soc. 58 (1936) 670-671
$$$Virial Coefficients
T [K]	Second Virial Coefficient [cm3/mol]	State	Reference
376.85	-2167.0000	Vapor	2
393.05	-1781.0000	Vapor	2
408.95	-1559.0000	Vapor	3
424.15	-1343.0000	Vapor	3
437.75	-1200.0000	Vapor	3
573.15	-645.8200	Vapor	1
598.15	-576.4900	Vapor	1
623.15	-517.4600	Vapor	1
648.15	-466.6100	Vapor	1
673.15	-416.2800	Vapor	1
Number	Source
1	Grigorev B.A.; Kurumov D.S.; Plotnikov S.A.: Virial equations of state for individual hydrocarbons. II. Virial Coefficients.. Zh.Fiz.Khim. 57 (1983) 218-221
2	Andon R.L.J.; Cox J.D.; Herington E.F.G.; Martin J.F.: The Second Virial Coefficients of Pyridine and Benzene, and Certain of their Methyl Homologues. Trans.Faraday Soc. 53 (1957) 1074-1082
3	Cox J.D.; Andon R.J.L.: The Second Virial Coefficients of Pyridine and Benzene and some Methyl Homologues between 135 and 165° C. Trans.Faraday Soc. 54 (1958) 1622-1629
